x, y, z
40.259, 37.484, 46.796
25.738, 15.114, 46.540
30.500, 27.198, 3.202
11.627, 36.263, 3.279
42.336, 12.866, 3.404
39.466, 5.083, 46.608
0.086, 18.165, 46.852
15.451, 31.334, 46.516
35.265, 11.691, 46.700
48.505, 40.031, 46.658
27.980, 11.988, 46.527
39.897, 30.002, 46.793
37.264, 8.906, 46.716
48.566, 36.250, 46.467
41.629, 47.245, 46.630
0.088, 25.462, 46.208
13.421, 25.051, 46.563
30.303, 40.190, 3.490
25.984, 47.445, 3.373
24.294, 49.502, 46.303
42.560, 19.245, 46.679
21.643, 23.220, 3.314
35.602, 7.769, 3.144
1.146, 49.620, 46.640
11.478, 47.608, 46.854
37.811, 40.079, 3.355
14.191, 32.661, 3.381
38.709, 18.513, 46.393
11.662, 5.772, 3.369
25.158, 23.081, 3.345
32.621, 23.999, 3.559
29.711, 34.270, 46.470
15.787, 36.589, 3.413
34.614, 21.188, 3.588
20.626, 10.406, 3.751
39.997, 36.771, 3.216
16.354, 11.105, 46.681
38.616, 12.301, 3.530
17.387, 42.455, 46.531
28.099, 37.152, 3.318
12.035, 4.851, 46.453
41.332, 47.133, 3.371
5.154, 34.864, 46.628
26.304, 24.895, 46.576
27.423, 44.199, 46.614
32.178, 14.048, 3.365
22.586, 23.242, 46.582
5.518, 1.519, 3.240
3.314, 31.257, 46.437
29.174, 26.998, 46.443
47.642, 7.651, 46.815
48.764, 3.445, 3.470
40.598, 8.474, 46.627
39.953, 24.874, 3.547
44.413, 1.503, 46.548
40.733, 29.419, 3.232
22.339, 19.524, 46.619
8.003, 48.108, 3.299
1.531, 7.784, 46.870
33.833, 3.656, 3.448
37.901, 27.584, 3.747
23.578, 12.445, 46.489
47.540, 49.646, 46.779
11.696, 1.410, 46.546
1.140, 17.980, 3.892
12.597, 29.338, 3.361
27.447, 47.635, 46.813
31.978, 7.291, 3.280
15.394, 5.489, 3.476
30.427, 10.649, 3.515
36.869, 15.099, 46.830
24.119, 2.846, 3.771
15.368, 49.650, 3.479
16.317, 27.049, 46.853
44.575, 10.113, 4.040
11.778, 9.370, 3.332
23.450, 26.745, 3.887
19.415, 28.840, 46.689
44.971, 19.581, 3.351
18.010, 23.020, 3.355
5.967, 41.558, 46.721
25.665, 29.082, 46.736
7.751, 8.434, 3.483
31.291, 18.502, 46.394
43.756, 36.715, 3.353
15.062, 3.018, 46.552
8.612, 28.594, 3.579
1.714, 4.288, 46.311
41.208, 19.316, 3.337
17.387, 46.801, 46.653
26.294, 32.625, 46.511
13.301, 39.418, 3.339
9.734, 40.088, 46.811
33.224, 32.310, 46.530
18.875, 17.310, 46.570
33.800, 46.354, 3.293
29.589, 15.278, 46.519
35.258, 21.660, 46.659
5.147, 9.597, 46.472
2.988, 44.987, 46.472
43.654, 43.070, 3.537
9.429, 39.146, 3.491
42.708, 4.468, 46.387
47.939, 36.894, 3.662
23.012, 34.378, 46.451
21.943, 46.017, 3.294
8.212, 35.520, 3.448
36.923, 36.547, 46.609
41.825, 39.999, 3.433
46.899, 43.579, 46.604
22.811, 26.961, 46.654
2.101, 37.285, 3.462
20.037, 19.620, 3.184
29.769, 33.746, 3.381
22.500, 34.046, 3.143
2.620, 21.150, 3.801
19.695, 36.554, 3.601
27.311, 18.338, 46.738
49.556, 23.705, 3.693
27.223, 40.279, 46.546
43.506, 16.365, 3.283
45.115, 36.816, 46.681
33.307, 15.106, 46.364
36.356, 36.182, 3.497
18.693, 32.930, 46.403
9.907, 30.116, 46.743
48.351, 10.368, 3.274
11.403, 42.152, 3.313
44.522, 29.625, 46.641
0.484, 33.383, 46.453
9.849, 1.835, 3.195
8.443, 3.893, 46.737
2.614, 3.946, 3.391
13.870, 41.073, 46.939
2.023, 41.475, 46.500
44.959, 46.862, 3.308
13.138, 28.537, 46.496
6.309, 21.439, 46.707
34.278, 43.906, 46.394
26.572, 5.646, 3.182
3.714, 41.610, 3.234
42.668, 22.695, 3.415
20.364, 44.678, 46.713
37.183, 2.276, 46.268
