x, y, z
39.680, 38.504, 46.488
31.178, 27.395, 3.377
13.344, 35.919, 3.399
42.797, 12.129, 3.344
37.670, 6.437, 46.563
45.724, 16.739, 46.430
17.437, 29.651, 46.495
34.880, 12.255, 46.597
1.101, 40.330, 46.699
28.341, 12.993, 46.853
40.895, 29.781, 46.127
38.227, 9.969, 46.599
49.432, 37.420, 46.577
43.249, 44.197, 46.313
13.191, 24.255, 46.787
30.143, 40.672, 3.581
25.284, 47.306, 3.779
23.459, 49.426, 46.240
46.250, 20.188, 46.626
21.870, 22.927, 3.223
37.702, 8.569, 3.445
47.154, 3.628, 46.503
10.607, 47.893, 46.431
37.527, 41.605, 3.282
14.976, 32.929, 3.527
42.562, 18.776, 46.366
10.793, 5.743, 3.841
25.659, 23.320, 3.385
33.500, 24.598, 3.407
28.581, 34.883, 46.698
18.381, 39.654, 3.522
35.541, 21.444, 3.562
19.645, 9.274, 3.447
40.204, 38.369, 3.569
15.501, 10.957, 46.830
39.108, 11.943, 3.616
15.822, 42.483, 46.609
28.449, 37.302, 3.421
11.915, 5.454, 46.508
40.587, 48.057, 3.221
1.611, 34.643, 46.516
27.050, 23.068, 46.863
26.707, 44.128, 46.276
32.267, 14.653, 3.490
23.683, 22.054, 46.500
5.263, 1.245, 3.401
2.506, 31.395, 46.487
27.184, 27.145, 46.580
47.931, 7.040, 46.825
49.303, 3.600, 3.331
41.271, 7.933, 46.338
40.828, 25.682, 3.582
43.658, 47.571, 46.522
42.260, 28.827, 3.458
7.960, 48.024, 3.252
1.428, 8.710, 46.565
31.813, 4.705, 3.625
38.545, 28.511, 3.493
25.159, 11.753, 46.828
46.483, 49.888, 46.716
10.878, 1.691, 46.349
1.078, 17.630, 3.379
13.156, 29.700, 3.202
26.699, 47.514, 46.485
33.715, 8.120, 3.846
14.659, 5.433, 3.523
31.935, 11.028, 3.379
38.939, 13.653, 46.471
14.711, 49.117, 3.814
16.453, 26.110, 46.450
45.010, 9.145, 3.256
12.034, 8.873, 3.263
23.363, 26.319, 3.877
20.425, 27.222, 46.446
45.082, 19.857, 3.250
17.448, 23.044, 3.577
7.317, 39.877, 46.572
24.387, 29.462, 46.822
8.365, 8.363, 3.348
32.670, 17.868, 46.710
44.448, 37.379, 3.513
14.889, 2.901, 46.199
9.395, 28.731, 3.519
0.688, 4.862, 46.189
41.712, 18.450, 3.301
15.978, 46.763, 46.502
25.309, 33.158, 46.717
14.665, 39.021, 3.533
11.424, 38.416, 46.669
31.740, 31.699, 46.599
18.874, 16.632, 46.747
32.506, 47.821, 3.290
29.104, 16.869, 46.379
40.555, 21.721, 46.803
4.983, 9.995, 46.607
2.874, 45.391, 46.526
43.376, 44.984, 3.731
10.598, 38.627, 3.442
37.856, 2.485, 46.823
48.839, 37.533, 3.445
21.880, 35.077, 46.433
21.156, 46.652, 3.235
9.002, 35.576, 3.235
35.783, 36.565, 46.665
42.625, 41.124, 3.546
49.820, 43.732, 46.764
23.782, 25.644, 46.653
2.357, 38.320, 3.315
19.655, 19.746, 3.431
30.554, 34.426, 3.319
22.765, 33.215, 3.471
2.637, 21.013, 3.267
20.693, 36.600, 3.341
25.626, 15.480, 46.783
0.327, 24.016, 3.636
24.654, 41.042, 46.320
43.947, 15.687, 3.276
46.238, 38.264, 45.452
35.655, 15.960, 46.336
36.021, 38.238, 3.596
17.921, 33.140, 46.603
9.484, 29.750, 46.471
48.806, 10.087, 3.210
12.082, 41.909, 3.436
42.386, 33.203, 46.553
48.400, 32.526, 46.786
9.062, 1.495, 3.689
8.547, 4.508, 46.458
3.328, 4.298, 3.382
12.339, 41.912, 46.385
5.163, 42.954, 46.222
46.342, 47.155, 3.644
13.164, 28.222, 46.595
6.477, 21.090, 46.479
30.201, 42.066, 46.484
25.664, 6.398, 3.350
4.613, 41.413, 3.118
43.341, 22.890, 3.350
18.630, 44.321, 46.694
36.702, 47.971, 46.422
12.715, 45.481, 46.455
28.761, 38.727, 46.662
4.666, 7.878, 3.371
18.290, 4.623, 46.721
17.315, 0.348, 46.542
12.522, 16.723, 46.704
35.007, 28.296, 3.482
22.580, 49.956, 3.333
15.979, 42.388, 3.449
3.904, 49.418, 46.637
2.029, 12.166, 46.400
29.682, 20.616, 46.704
18.918, 49.516, 3.519
48.292, 10.994, 46.472
28.661, 30.287, 3.419
10.803, 15.796, 3.235
7.061, 38.561, 3.514
34.281, 1.691, 3.126
13.787, 35.877, 46.372
27.465, 41.095, 43.865
2.116, 27.470, 3.394
13.586, 22.755, 3.407
21.207, 30.816, 46.649
23.657, 44.085, 3.250
17.913, 36.508, 46.664
35.648, 11.565, 3.427
6.338, 46.543, 46.561
15.831, 8.713, 3.388
22.643, 16.242, 3.019
49.615, 41.127, 3.435
4.040, 47.765, 3.448
5.555, 11.631, 3.387
32.940, 31.298, 4.035
22.286, 13.885, 46.462
44.171, 27.674, 46.226
29.951, 8.152, 3.200
43.603, 2.414, 46.569
34.421, 8.456, 46.285
1.696, 1.219, 3.279
24.885, 7.174, 46.789
11.802, 12.670, 46.770
0.215, 13.924, 3.363
34.988, 33.232, 46.435
6.858, 14.909, 3.508
39.045, 33.981, 46.641
20.845, 1.781, 46.502
38.811, 18.234, 46.683
10.027, 22.015, 3.084
47.619, 6.798, 3.379
35.896, 41.074, 46.550
43.164, 5.960, 3.055
2.528, 23.453, 46.552
47.821, 27.072, 3.560
15.229, 26.349, 3.479
44.134, 5.790, 46.463
46.509, 41.750, 46.738
30.403, 49.307, 46.797
38.069, 35.159, 3.314
12.886, 20.456, 46.735
45.627, 3.585, 3.768
21.744, 38.805, 46.922
13.898, 45.197, 3.218
8.272, 18.485, 3.178
24.945, 13.011, 3.578
49.596, 25.322, 46.791
22.165, 40.574, 3.643
6.111, 44.900, 3.408
37.093, 44.209, 46.696
29.904, 17.465, 3.284
34.325, 44.793, 3.301
10.268, 26.196, 46.840
18.553, 15.845, 3.257
19.435, 19.922, 46.609
39.862, 21.950, 3.545
40.494, 0.304, 46.556
45.913, 35.035, 46.315
44.104, 23.079, 46.559
31.987, 37.963, 3.393
20.340, 23.451, 46.778
39.595, 5.614, 3.133
37.933, 1.456, 3.185
40.035, 46.261, 46.419
14.392, 31.534, 46.672
20.034, 43.170, 3.181
44.628, 26.084, 3.486
5.985, 28.530, 3.271
2.721, 15.894, 46.755
13.301, 12.396, 3.564
8.899, 42.805, 46.622
8.487, 41.854, 3.413
23.287, 9.454, 3.395
11.044, 33.210, 46.724
25.911, 18.977, 46.738
18.067, 5.981, 3.392
15.563, 14.683, 46.753
46.583, 45.529, 46.866
37.311, 24.801, 3.403
16.954, 35.941, 3.909
31.061, 27.777, 46.650
16.373, 2.451, 3.492
36.128, 5.542, 3.758
33.548, 41.051, 3.329
48.660, 20.491, 3.791
28.169, 20.470, 3.500
41.901, 11.269, 46.625
26.535, 39.902, 3.264
45.587, 29.928, 3.518
41.446, 35.158, 3.553
30.945, 44.227, 3.374
42.770, 36.748, 46.819
35.913, 48.154, 3.441
33.052, 47.241, 46.693
29.453, 24.061, 3.334
6.867, 4.939, 3.825
15.358, 7.055, 45.951
15.827, 18.555, 46.680
28.008, 8.830, 46.179
13.736, 49.335, 46.745
33.805, 21.881, 46.286
22.421, 9.689, 46.658
34.156, 34.516, 3.262
36.831, 31.461, 3.306
17.124, 22.533, 46.557
