x, y, z
16.330, 44.784, 46.518
44.374, 28.500, 3.558
29.868, 12.160, 46.721
48.899, 47.752, 46.731
9.503, 49.128, 3.334
37.377, 25.904, 3.443
24.476, 23.979, 3.422
16.858, 14.058, 3.342
39.390, 19.512, 43.018
9.879, 12.393, 3.357
12.822, 39.534, 46.699
49.778, 10.277, 3.620
42.570, 32.045, 3.359
10.902, 32.449, 46.833
44.319, 34.634, 46.291
16.564, 11.397, 46.619
45.817, 11.332, 46.503
21.909, 42.111, 3.472
36.504, 24.290, 44.983
40.907, 49.613, 3.391
12.746, 14.884, 3.489
33.834, 16.954, 3.302
3.971, 43.830, 46.541
34.936, 37.615, 46.770
40.982, 9.381, 46.461
15.300, 18.720, 46.356
19.649, 44.854, 3.588
11.131, 27.315, 3.411
15.443, 0.202, 3.720
27.155, 48.696, 46.127
49.068, 47.985, 3.769
10.088, 8.775, 3.554
3.184, 43.255, 3.265
13.754, 7.696, 3.370
6.125, 13.568, 3.386
34.055, 6.554, 3.547
29.180, 40.866, 3.539
46.276, 11.957, 3.402
26.647, 25.760, 46.595
38.499, 46.839, 3.215
29.801, 7.818, 3.223
3.985, 28.973, 3.345
6.588, 45.905, 3.417
39.891, 8.093, 3.292
23.870, 12.564, 3.296
10.103, 25.303, 46.377
15.959, 21.307, 3.363
49.128, 39.411, 46.618
21.178, 36.141, 46.527
47.049, 32.641, 46.788
48.260, 4.903, 46.532
27.094, 14.060, 3.426
46.924, 28.746, 46.655
37.341, 31.697, 46.579
49.095, 1.399, 46.732
30.360, 19.828, 3.699
14.661, 39.603, 3.770
19.903, 46.011, 46.848
3.336, 12.614, 46.459
25.369, 17.915, 46.675
12.555, 47.371, 3.734
32.351, 43.735, 46.483
17.808, 34.382, 46.498
5.357, 35.542, 3.343
43.222, 6.179, 3.275
32.050, 42.641, 3.468
20.433, 10.304, 3.636
29.811, 12.182, 3.425
25.205, 36.858, 3.285
21.635, 16.958, 46.067
3.737, 30.404, 46.580
28.335, 34.806, 46.650
10.349, 14.493, 46.228
20.298, 27.717, 46.896
40.048, 12.528, 46.571
14.162, 30.009, 46.692
46.353, 24.577, 46.474
46.391, 44.417, 3.555
44.684, 17.321, 46.341
39.975, 34.855, 3.236
6.701, 21.159, 3.445
1.800, 8.297, 46.508
5.452, 23.830, 46.688
28.297, 44.338, 3.406
23.427, 14.165, 46.756
49.710, 18.075, 3.426
1.895, 4.406, 46.846
49.929, 30.454, 46.648
39.115, 22.253, 46.783
11.772, 18.069, 46.377
12.444, 11.719, 46.608
14.555, 14.931, 46.379
12.842, 18.443, 3.259
28.738, 42.627, 45.683
40.891, 41.148, 5.983
5.948, 9.699, 46.746
23.756, 16.041, 3.320
49.710, 12.087, 46.715
36.782, 15.259, 46.633
23.264, 1.588, 46.107
27.096, 2.579, 46.575
31.557, 36.377, 46.562
13.893, 8.327, 46.704
43.202, 14.002, 3.208
37.032, 18.620, 3.314
21.104, 1.588, 3.321
35.222, 49.033, 3.708
30.217, 4.251, 46.541
40.528, 19.778, 3.503
9.287, 35.082, 3.452
30.826, 8.684, 46.491
14.240, 28.935, 3.482
24.053, 3.711, 3.257
14.852, 36.794, 46.192
8.273, 34.650, 46.760
29.564, 28.054, 46.618
16.195, 17.353, 3.423
36.692, 14.257, 3.230
42.897, 10.249, 3.457
29.724, 46.125, 45.915
39.796, 15.914, 3.389
27.075, 9.887, 46.055
7.137, 27.633, 46.705
20.141, 13.753, 3.288
37.629, 18.894, 46.319
10.616, 28.906, 46.510
2.014, 23.627, 46.145
6.680, 41.101, 46.769
46.341, 19.358, 3.403
16.465, 22.335, 46.618
9.387, 15.821, 3.246
38.386, 2.669, 46.418
35.299, 0.604, 46.785
6.894, 5.919, 3.390
1.698, 36.832, 46.040
7.624, 31.107, 46.413
17.298, 26.977, 3.289
35.915, 41.512, 46.680
5.429, 20.523, 45.890
27.998, 25.430, 3.412
0.502, 43.897, 46.453
6.460, 17.397, 3.677
20.831, 5.316, 3.619
28.558, 48.909, 3.226
7.730, 2.420, 3.734
37.987, 6.594, 47.009
2.481, 40.615, 46.722
41.954, 1.339, 46.529
24.553, 32.974, 46.599
45.296, 48.303, 3.424
46.781, 4.758, 3.149
19.092, 48.718, 3.468
13.302, 11.417, 3.423
33.596, 18.234, 46.340
5.773, 48.492, 46.372
18.853, 19.267, 46.582
34.812, 28.291, 3.154
44.981, 3.095, 46.734
47.525, 1.369, 3.305
7.887, 28.845, 3.532
47.857, 23.148, 3.432
0.606, 21.384, 3.491
31.602, 15.398, 46.426
20.348, 10.861, 46.453
7.517, 44.587, 46.655
10.115, 44.811, 3.374
47.643, 27.060, 3.404
27.054, 14.579, 46.709
1.885, 18.587, 46.621
6.370, 2.156, 46.636
26.590, 45.042, 46.526
10.351, 41.527, 3.270
49.870, 44.147, 3.164
0.990, 26.189, 3.517
14.059, 24.804, 3.150
45.370, 20.710, 46.619
46.626, 8.507, 3.057
18.332, 8.144, 46.367
28.405, 29.912, 3.509
18.092, 3.133, 3.817
12.339, 4.969, 46.449
40.363, 33.069, 46.701
22.369, 39.546, 46.776
5.787, 37.331, 46.701
24.615, 44.213, 3.267
25.327, 40.512, 3.337
22.410, 47.644, 3.429
0.746, 39.905, 3.412
36.572, 36.400, 3.414
31.805, 40.036, 46.541
42.533, 40.630, 46.332
1.204, 36.393, 3.380
37.358, 5.257, 3.443
9.088, 47.812, 46.153
43.128, 13.963, 46.653
44.277, 25.112, 3.707
21.284, 6.944, 46.653
0.474, 15.442, 46.840
31.680, 0.525, 3.355
14.352, 33.424, 46.577
25.331, 37.279, 46.620
26.439, 32.809, 3.104
45.903, 46.455, 46.498
24.350, 19.580, 3.389
4.409, 16.094, 46.612
27.209, 21.693, 3.381
34.866, 4.397, 46.268
26.437, 6.590, 3.551
13.863, 24.903, 46.647
48.469, 18.448, 46.174
7.776, 38.607, 3.309
18.516, 38.617, 46.424
12.213, 21.851, 3.358
2.980, 8.754, 3.366
37.610, 22.004, 3.213
39.222, 42.935, 3.304
36.333, 46.297, 46.475
34.365, 7.973, 46.383
41.707, 5.086, 46.445
27.560, 21.542, 46.465
16.367, 48.390, 46.403
34.677, 21.507, 46.776
34.532, 2.798, 3.557
36.614, 9.208, 3.233
20.337, 3.657, 46.574
16.802, 31.868, 3.362
9.436, 19.327, 4.718
35.514, 44.926, 3.364
48.345, 35.799, 46.496
19.921, 23.334, 46.860
43.612, 1.701, 3.885
45.083, 38.094, 46.634
8.982, 21.693, 46.594
23.796, 9.206, 46.675
5.813, 49.271, 3.375
34.160, 12.835, 46.146
4.848, 34.020, 46.486
10.655, 31.342, 3.068
9.549, 24.337, 3.383
13.600, 1.310, 46.472
19.558, 42.507, 46.675
45.721, 49.746, 46.052
31.411, 27.051, 3.408
25.150, 0.340, 3.085
16.955, 6.711, 3.840
29.869, 34.115, 3.539
11.429, 36.078, 46.511
13.263, 33.404, 3.171
37.965, 35.421, 46.423
19.914, 29.998, 3.613
23.090, 7.802, 3.564
12.800, 47.483, 46.643
6.699, 10.103, 3.503
20.029, 49.522, 46.029
16.103, 41.040, 46.653
47.351, 41.064, 3.401
25.585, 41.004, 46.713
11.324, 37.987, 3.390
23.441, 30.269, 3.358
0.017, 14.270, 3.556
31.137, 4.081, 3.615
39.160, 48.765, 46.539
43.885, 44.122, 44.820
36.741, 10.756, 46.682
36.261, 27.526, 46.621
4.217, 2.844, 3.339
17.088, 42.676, 3.514
32.856, 25.711, 46.688
28.980, 17.676, 46.520
23.891, 29.617, 46.528
36.734, 32.728, 3.423
32.276, 38.579, 3.283
3.091, 15.932, 3.620
3.219, 26.922, 46.275
3.476, 23.326, 3.388
0.651, 2.941, 3.270
27.495, 6.279, 46.722
19.702, 35.179, 3.312
48.206, 8.533, 46.240
9.841, 1.337, 46.541
16.113, 46.300, 3.242
40.016, 12.459, 3.502
9.956, 41.624, 46.646
5.259, 6.105, 46.825
2.701, 32.380, 3.338
27.568, 30.938, 46.815
44.037, 39.283, 3.429
43.321, 17.706, 3.163
35.226, 40.634, 3.514
18.770, 23.847, 3.820
29.696, 24.213, 46.875
1.097, 33.468, 46.921
40.024, 38.186, 3.384
41.543, 36.886, 46.626
0.272, 29.686, 3.337
17.624, 30.367, 46.532
49.583, 26.381, 46.596
37.892, 1.765, 3.843
23.444, 21.822, 46.676
10.614, 4.873, 3.171
49.451, 33.365, 3.397
12.592, 21.580, 46.729
43.580, 42.930, 3.546
14.687, 3.932, 3.485
2.873, 0.693, 46.677
6.774, 32.328, 3.335
32.336, 30.698, 3.528
46.149, 41.465, 46.490
38.724, 29.867, 3.157
32.787, 9.636, 3.137
33.431, 13.383, 3.526
27.964, 2.656, 3.345
22.654, 44.068, 47.012
43.783, 30.641, 46.388
6.834, 13.568, 46.525
7.563, 17.653, 46.663
26.727, 10.276, 3.448
16.808, 2.108, 46.623
40.141, 16.283, 46.502
21.432, 26.360, 3.487
42.766, 23.211, 46.688
8.902, 38.335, 45.875
33.928, 24.675, 3.298
40.539, 4.076, 3.335
40.434, 29.587, 46.836
34.483, 33.728, 46.572
23.189, 33.958, 3.202
47.746, 36.323, 3.372
16.423, 10.125, 3.545
13.629, 43.491, 3.423
9.043, 6.773, 46.627
41.619, 19.332, 46.457
30.773, 23.232, 3.411
28.499, 38.809, 46.232
40.765, 26.982, 3.412
43.299, 26.988, 46.779
46.187, 31.504, 3.330
23.078, 25.308, 46.407
30.454, 15.756, 3.254
41.983, 46.224, 3.484
2.074, 49.998, 3.512
28.668, 37.639, 3.507
39.246, 39.747, 46.729
33.091, 47.150, 46.558
44.548, 7.498, 46.512
27.234, 17.573, 3.271
13.272, 43.362, 46.766
30.682, 31.980, 46.447
48.854, 21.891, 46.582
24.349, 4.846, 46.449
3.548, 19.534, 3.424
32.445, 46.408, 3.426
2.983, 46.724, 3.193
21.991, 38.432, 3.237
9.233, 10.810, 46.595
18.106, 38.442, 3.437
43.995, 35.472, 3.350
18.327, 14.474, 46.794
40.674, 23.474, 3.366
46.629, 15.787, 3.447
15.845, 5.294, 46.541
23.291, 47.709, 46.555
33.412, 29.780, 46.807
43.461, 21.205, 3.354
31.199, 0.040, 46.861
34.003, 21.144, 3.325
21.422, 21.515, 3.762
46.883, 14.609, 46.659
49.906, 6.619, 3.581
33.418, 33.958, 3.764
12.093, 1.735, 3.189
2.912, 12.220, 3.371
6.592, 41.912, 3.642
18.341, 16.574, 43.581
26.354, 11.732, 43.029
11.973, 25.233, 6.096
42.417, 47.487, 46.331
15.730, 35.817, 3.768
9.441, 39.731, 42.890
18.577, 9.605, 42.708
1.672, 8.468, 6.909
5.937, 25.751, 3.312
16.171, 28.998, 6.487
6.310, 20.313, 8.388
45.749, 6.182, 6.571
39.474, 44.943, 46.829
38.499, 7.445, 6.794
48.186, 1.859, 7.284
0.057, 18.646, 43.050
7.636, 0.550, 43.407
2.950, 5.757, 5.010
15.495, 25.158, 6.799
4.170, 38.966, 3.328
26.821, 28.585, 44.174
10.674, 45.034, 44.616
2.513, 46.989, 46.650
1.829, 17.937, 6.313
18.045, 20.056, 42.098
13.286, 42.240, 43.138
21.272, 32.017, 46.552
46.894, 48.710, 42.861
29.914, 11.398, 41.721
11.493, 13.361, 6.282
31.092, 20.883, 46.643
11.649, 1.822, 7.060
13.130, 5.251, 7.524
28.411, 0.870, 43.805
30.683, 25.913, 43.673
28.214, 7.974, 43.469
43.598, 20.719, 43.100
14.182, 44.993, 6.754
28.291, 32.011, 43.595
27.797, 19.329, 6.663
32.485, 1.659, 43.998
19.760, 40.992, 6.442
46.935, 42.725, 6.832
21.777, 44.618, 43.757
14.857, 9.343, 43.422
25.993, 22.736, 43.258
8.017, 12.476, 6.245
13.290, 31.756, 42.954
32.343, 6.234, 44.500
29.030, 14.570, 43.441
20.633, 17.685, 3.120
2.394, 2.743, 7.206
11.196, 43.023, 6.798
27.277, 23.467, 6.455
20.761, 25.538, 43.276
8.848, 3.792, 44.127
25.608, 15.973, 6.392
16.717, 26.723, 46.653
49.779, 5.086, 6.724
47.641, 17.305, 6.279
35.884, 30.156, 43.314
0.417, 42.432, 7.028
5.754, 8.177, 6.808
22.384, 22.523, 42.147
4.776, 29.002, 8.391
19.017, 36.944, 42.979
11.785, 48.824, 42.720
5.051, 14.690, 8.104
11.505, 38.767, 7.542
4.822, 33.089, 6.235
17.519, 34.831, 6.772
25.141, 32.179, 6.657
6.031, 23.812, 6.366
