x, y, z
1.172, 6.065, 46.643
8.750, 4.012, 46.380
13.198, 10.256, 46.386
19.941, 25.455, 46.213
21.367, 38.220, 3.628
26.831, 14.600, 3.254
3.194, 37.684, 3.589
34.884, 31.294, 46.536
35.693, 48.226, 46.453
35.845, 3.617, 46.455
15.462, 30.641, 46.659
26.286, 25.439, 3.395
22.331, 47.717, 46.501
15.830, 26.894, 46.433
33.252, 4.584, 3.354
11.775, 31.753, 46.470
40.024, 9.083, 3.400
49.358, 9.836, 46.721
14.400, 40.353, 3.583
35.651, 29.948, 3.439
14.297, 34.469, 46.710
39.208, 38.931, 46.761
47.263, 18.644, 46.461
9.641, 24.761, 46.524
11.203, 12.020, 3.487
43.094, 6.984, 3.503
40.999, 24.090, 3.260
28.622, 22.507, 3.380
36.660, 4.325, 3.503
39.780, 30.662, 3.578
7.748, 3.594, 3.222
7.736, 46.061, 46.578
25.332, 21.630, 3.796
23.690, 0.831, 3.518
13.152, 1.148, 3.403
8.261, 38.734, 46.693
21.819, 21.007, 3.288
34.841, 27.784, 46.727
40.222, 4.726, 3.256
17.016, 37.298, 46.374
42.313, 12.954, 46.667
43.912, 21.764, 3.452
20.788, 41.988, 3.538
8.712, 28.785, 46.610
4.985, 4.101, 46.108
15.957, 17.359, 3.592
26.276, 10.882, 3.526
32.892, 22.555, 3.577
31.696, 42.041, 46.689
35.504, 24.294, 46.124
27.243, 24.227, 46.194
37.055, 49.389, 4.025
30.674, 38.299, 46.526
0.917, 17.209, 46.494
37.556, 7.796, 46.530
48.929, 35.888, 46.777
30.287, 16.584, 3.065
21.161, 16.359, 46.636
44.639, 37.991, 3.305
36.926, 19.074, 3.340
1.358, 20.715, 3.363
38.575, 35.580, 46.196
13.273, 20.498, 46.735
2.673, 13.627, 3.343
2.328, 35.661, 46.609
4.007, 46.698, 46.320
24.288, 34.848, 46.706
4.522, 24.357, 3.690
49.137, 38.898, 3.272
13.108, 24.603, 46.704
7.985, 23.835, 3.440
49.554, 16.752, 3.549
1.504, 12.314, 46.439
32.964, 41.010, 3.424
15.539, 45.832, 46.783
34.679, 13.468, 46.625
16.702, 0.655, 3.374
37.633, 23.303, 3.753
47.469, 0.077, 46.652
29.479, 5.023, 46.485
42.621, 45.515, 3.411
43.321, 2.985, 3.480
23.255, 43.196, 46.823
40.527, 0.122, 3.071
37.053, 38.090, 3.570
28.917, 40.849, 3.320
39.063, 1.847, 46.362
17.362, 41.276, 46.392
5.955, 40.203, 3.252
1.271, 46.353, 3.323
4.932, 0.431, 46.118
4.943, 31.859, 46.496
38.712, 30.431, 46.700
29.642, 12.336, 3.251
32.671, 10.738, 46.413
14.143, 16.578, 45.565
48.695, 0.189, 3.594
30.690, 44.311, 3.133
47.926, 13.593, 46.435
0.968, 24.922, 3.825
19.676, 29.086, 3.316
