x, y, z
40.104, 28.584, 46.904
34.808, 7.171, 46.444
33.016, 20.392, 46.687
4.477, 47.660, 46.601
49.525, 9.300, 46.378
9.414, 16.457, 46.714
5.934, 4.103, 3.863
0.220, 0.511, 46.733
3.077, 37.083, 3.201
12.068, 18.579, 46.629
5.848, 12.708, 46.626
19.878, 16.006, 3.743
34.910, 40.084, 46.301
31.799, 47.119, 46.833
43.930, 14.544, 3.744
10.451, 12.455, 3.199
17.021, 47.047, 3.202
4.609, 27.067, 46.527
11.947, 16.640, 3.319
15.326, 30.561, 3.567
36.870, 46.990, 46.738
5.679, 34.542, 3.585
34.112, 42.177, 3.394
30.876, 40.377, 4.113
34.168, 36.923, 46.572
13.951, 3.131, 3.237
3.224, 10.300, 46.247
14.399, 7.332, 46.548
6.455, 18.451, 46.343
25.561, 3.477, 2.954
11.877, 48.255, 46.650
49.340, 4.824, 3.312
8.554, 32.061, 3.572
16.211, 47.042, 46.886
48.723, 35.565, 46.770
2.248, 20.774, 3.182
45.981, 29.488, 3.595
36.915, 3.921, 46.432
34.920, 10.731, 46.357
48.964, 25.278, 46.557
32.813, 16.994, 46.622
32.236, 30.874, 46.579
13.414, 34.178, 46.524
8.418, 24.936, 3.201
20.170, 40.352, 46.770
47.818, 31.787, 46.481
48.385, 44.252, 46.586
19.997, 40.412, 3.213
23.990, 0.059, 3.303
5.222, 21.984, 46.424
8.378, 28.613, 3.308
22.417, 43.760, 46.673
39.317, 25.838, 3.744
10.923, 8.681, 46.402
16.996, 5.101, 3.728
35.391, 3.284, 3.656
2.675, 36.644, 46.582
30.110, 5.583, 46.922
26.941, 25.239, 46.353
9.167, 35.694, 4.005
6.585, 9.070, 46.642
3.656, 27.017, 3.356
26.378, 43.457, 3.882
1.658, 33.301, 46.244
20.536, 21.206, 3.291
15.919, 40.143, 46.430
14.578, 21.387, 46.822
16.561, 13.913, 46.641
32.730, 16.283, 3.440
2.401, 24.634, 46.181
42.750, 14.193, 46.377
39.166, 34.782, 4.174
17.719, 43.178, 46.700
41.908, 23.588, 3.259
14.767, 22.815, 3.381
40.904, 16.869, 3.321
15.760, 15.972, 3.370
45.385, 34.550, 46.547
15.378, 27.010, 3.212
43.117, 34.374, 3.389
7.723, 15.433, 3.119
38.498, 1.734, 3.606
46.887, 1.959, 46.685
39.412, 16.466, 46.497
45.794, 19.784, 46.608
40.421, 32.638, 46.689
2.484, 6.158, 46.568
42.920, 20.360, 3.256
24.814, 24.153, 3.473
32.164, 2.316, 3.319
45.955, 38.241, 46.617
1.110, 46.745, 46.186
17.089, 23.882, 46.672
19.278, 26.449, 46.354
3.897, 23.718, 3.839
37.106, 45.093, 3.339
11.086, 22.367, 3.693
9.031, 20.796, 46.694
43.020, 17.713, 46.729
41.521, 43.081, 46.540
8.094, 24.621, 46.617
39.822, 24.324, 46.457
45.811, 36.707, 3.295
21.640, 25.222, 3.345
24.387, 22.157, 46.657
49.209, 26.538, 3.265
39.463, 13.753, 3.590
13.971, 30.211, 46.475
39.933, 6.362, 3.366
6.305, 38.248, 3.323
41.114, 47.449, 46.522
14.100, 19.463, 4.355
35.648, 14.259, 46.583
38.000, 30.144, 3.412
22.776, 6.091, 3.576
49.842, 21.883, 46.276
22.019, 49.281, 46.634
19.335, 16.456, 46.562
49.002, 46.052, 3.384
8.305, 48.246, 46.789
23.273, 15.043, 46.773
