x, y, z
40.403, 28.368, 46.305
35.754, 7.371, 46.103
32.571, 20.693, 46.677
3.976, 47.242, 46.721
49.289, 8.657, 46.526
9.015, 15.749, 46.516
6.840, 3.373, 3.337
0.406, 49.667, 46.496
2.526, 36.588, 3.365
11.489, 18.807, 46.197
5.992, 13.365, 46.155
20.478, 16.054, 3.245
34.144, 41.875, 46.758
31.417, 48.213, 46.724
42.259, 12.372, 3.607
16.706, 46.953, 3.435
5.580, 26.467, 46.281
13.348, 14.740, 3.521
15.435, 30.343, 3.436
35.273, 47.327, 46.697
5.767, 34.464, 3.313
33.445, 41.064, 3.316
29.920, 40.154, 3.307
34.562, 37.483, 46.437
13.196, 3.209, 3.624
3.077, 10.523, 46.264
14.800, 7.293, 46.221
6.733, 18.837, 46.766
25.970, 3.319, 3.639
11.914, 46.929, 46.814
0.473, 2.666, 3.205
9.106, 32.268, 3.298
15.439, 47.110, 46.719
49.313, 35.361, 46.660
2.013, 19.485, 3.553
46.570, 29.398, 3.749
37.257, 3.507, 46.230
34.315, 11.147, 46.837
49.320, 26.755, 46.537
32.939, 17.037, 46.628
32.982, 30.832, 46.136
12.939, 31.842, 46.685
7.563, 23.751, 3.381
19.921, 41.041, 46.703
47.333, 44.906, 46.394
20.628, 40.457, 3.444
24.847, 49.553, 3.474
7.654, 28.049, 3.207
22.212, 43.859, 46.596
39.501, 26.361, 3.893
10.483, 8.517, 46.791
16.750, 4.424, 3.300
36.429, 1.678, 3.365
3.307, 36.612, 46.562
28.198, 6.065, 46.301
27.033, 25.079, 46.741
9.696, 36.345, 3.466
6.969, 9.893, 46.569
4.617, 26.288, 3.220
26.465, 43.685, 3.681
1.226, 32.227, 46.721
20.602, 20.009, 3.166
16.131, 40.308, 46.178
13.161, 21.833, 46.879
16.599, 14.379, 46.557
33.623, 17.086, 3.336
2.086, 24.565, 46.541
42.605, 12.322, 46.693
41.085, 35.143, 3.418
18.351, 44.337, 46.511
41.157, 22.433, 3.246
14.252, 23.084, 3.326
41.327, 15.876, 3.446
16.724, 17.005, 3.159
46.059, 33.939, 46.611
14.620, 26.526, 3.661
43.803, 32.582, 3.482
8.451, 14.982, 3.267
40.258, 2.753, 3.297
39.681, 14.907, 46.507
39.077, 33.112, 46.588
2.238, 6.494, 46.473
44.160, 18.417, 3.441
24.947, 23.794, 3.816
32.158, 1.368, 3.317
45.101, 37.730, 46.880
0.690, 46.320, 46.842
15.858, 24.329, 46.808
18.385, 26.977, 46.438
2.852, 22.553, 3.793
37.907, 45.094, 3.202
10.934, 21.800, 3.264
8.985, 21.450, 46.611
43.212, 16.785, 46.551
40.518, 43.101, 46.497
5.293, 22.839, 46.434
39.186, 22.640, 46.713
45.095, 35.665, 3.555
21.542, 25.482, 3.438
24.191, 22.304, 46.601
0.446, 24.997, 3.154
38.384, 13.113, 3.401
15.208, 28.043, 46.706
40.264, 7.547, 3.628
5.658, 38.096, 3.193
12.794, 18.336, 3.708
36.672, 13.729, 46.523
38.427, 30.052, 3.517
23.533, 6.275, 3.627
48.897, 20.727, 46.467
23.278, 49.726, 46.630
19.705, 17.084, 46.575
49.317, 46.014, 3.436
7.527, 47.050, 46.173
23.185, 15.452, 46.522
16.356, 1.059, 3.710
25.185, 7.769, 46.448
34.909, 31.351, 3.441
24.292, 12.122, 46.501
