x, y, z
49.437, 5.774, 46.583
6.925, 3.795, 46.676
14.281, 9.829, 46.624
19.576, 25.463, 46.579
22.074, 40.689, 3.456
25.702, 14.936, 3.399
1.393, 39.065, 3.501
35.325, 29.497, 46.753
33.652, 47.744, 46.670
35.845, 2.935, 46.574
15.214, 31.195, 46.683
26.405, 25.916, 3.137
22.523, 48.141, 46.534
15.647, 27.131, 46.556
31.696, 5.331, 3.272
12.144, 32.795, 46.554
39.898, 8.728, 3.550
48.795, 10.049, 46.365
13.959, 38.984, 3.338
34.520, 29.610, 3.430
15.509, 36.007, 46.432
38.113, 38.854, 46.609
49.042, 18.208, 46.825
8.097, 24.435, 46.615
12.149, 9.972, 3.352
1.993, 32.490, 45.022
43.038, 6.963, 3.430
40.162, 24.486, 3.509
29.632, 20.602, 3.420
35.291, 4.964, 3.929
40.971, 31.030, 4.118
7.683, 3.169, 3.457
8.253, 43.349, 46.681
25.770, 22.334, 3.296
24.468, 1.783, 3.759
13.674, 49.773, 3.297
6.141, 37.649, 46.500
22.956, 20.291, 3.269
32.235, 26.578, 46.673
38.475, 3.153, 3.314
18.359, 37.853, 46.457
42.706, 13.914, 46.212
43.763, 22.344, 3.712
19.863, 43.663, 3.308
8.932, 30.497, 46.613
3.276, 6.010, 46.684
15.009, 17.533, 3.210
26.222, 11.041, 4.159
33.260, 21.847, 3.227
31.663, 40.476, 46.553
33.882, 22.740, 46.708
26.226, 23.369, 45.754
37.268, 49.689, 3.392
31.685, 35.857, 46.375
2.489, 16.852, 46.510
38.275, 6.105, 46.520
48.572, 38.364, 46.522
0.227, 14.790, 3.174
29.555, 16.356, 3.312
20.723, 13.376, 46.662
43.828, 39.272, 3.362
35.801, 19.867, 4.951
0.912, 21.959, 3.513
35.411, 34.386, 46.578
13.158, 21.061, 46.788
3.437, 13.532, 3.355
49.589, 34.599, 46.535
5.935, 47.332, 46.641
24.569, 36.294, 46.649
4.806, 25.324, 3.608
47.316, 39.168, 3.240
13.491, 24.506, 46.273
29.072, 10.007, 46.892
8.270, 22.173, 3.299
0.747, 18.362, 3.389
0.605, 14.051, 46.417
33.349, 39.863, 3.704
15.553, 45.570, 46.583
43.574, 2.109, 45.787
35.579, 13.049, 46.320
17.647, 1.581, 3.480
36.985, 23.181, 3.360
48.420, 49.282, 46.747
30.784, 5.844, 46.512
42.711, 45.570, 3.222
41.781, 2.699, 3.479
23.547, 43.160, 46.502
41.297, 48.735, 3.697
36.598, 37.997, 3.185
27.505, 40.861, 3.303
37.601, 49.541, 46.697
15.965, 41.360, 46.063
5.293, 39.693, 3.333
0.574, 46.358, 3.544
4.943, 0.929, 46.618
4.854, 30.670, 46.875
38.526, 30.894, 46.741
29.221, 12.700, 3.376
37.270, 9.540, 46.519
14.378, 16.397, 46.502
48.178, 0.448, 3.342
34.666, 44.213, 3.093
46.290, 14.823, 46.601
0.769, 25.534, 3.326
18.751, 28.346, 3.267
26.136, 47.984, 3.470
21.011, 1.580, 3.433
10.012, 40.277, 46.216
1.325, 2.626, 46.547
37.688, 12.265, 3.232
26.375, 48.287, 46.567
38.600, 35.243, 3.896
17.551, 9.581, 46.837
8.450, 34.482, 46.581
16.956, 23.013, 46.746
39.112, 45.675, 46.586
18.188, 32.221, 3.185
2.312, 38.331, 46.694
36.094, 15.972, 3.485
31.093, 43.162, 3.081
35.747, 45.012, 46.227
4.055, 24.799, 46.694
34.510, 18.901, 46.831
17.960, 23.470, 3.257
25.595, 8.697, 46.624
11.526, 32.942, 3.140
3.902, 32.127, 3.366
18.928, 32.593, 46.522
11.236, 36.305, 46.381
33.494, 36.441, 3.391
30.097, 47.866, 46.332
9.312, 13.078, 3.491
21.227, 35.372, 46.226
36.180, 25.932, 45.760
