x, y, z
34.827, 25.541, 3.305
16.132, 10.972, 3.277
24.225, 27.926, 3.297
33.097, 30.164, 46.604
10.689, 28.623, 6.279
47.061, 4.227, 46.705
26.485, 34.139, 46.703
28.455, 41.160, 3.375
33.621, 15.296, 46.696
0.960, 6.834, 46.687
26.519, 41.566, 46.110
27.035, 18.715, 46.705
3.512, 16.964, 46.322
38.795, 47.063, 46.614
14.069, 15.103, 46.566
43.600, 13.955, 46.198
20.085, 18.821, 46.523
35.502, 12.441, 3.135
26.919, 24.825, 3.326
23.812, 31.560, 46.683
9.419, 10.237, 3.408
45.823, 43.611, 46.162
23.755, 20.329, 46.480
9.740, 36.259, 46.527
36.808, 21.061, 46.743
27.869, 5.529, 3.744
10.448, 31.070, 3.350
24.728, 21.942, 3.750
34.866, 2.931, 46.701
48.027, 43.783, 3.350
28.816, 21.931, 3.308
47.023, 12.416, 46.626
37.958, 1.702, 3.661
19.146, 1.239, 3.249
43.096, 33.158, 46.697
9.320, 44.475, 3.284
6.209, 14.448, 3.461
39.704, 30.590, 46.739
23.511, 1.324, 46.131
43.012, 29.092, 46.373
19.645, 34.439, 46.564
44.422, 36.073, 3.599
20.301, 45.364, 46.544
17.134, 47.963, 46.647
48.673, 46.073, 46.820
40.047, 15.574, 46.573
34.523, 11.087, 46.776
33.442, 15.730, 3.275
2.705, 15.787, 3.312
21.112, 7.543, 46.657
41.782, 44.757, 46.525
20.060, 34.637, 3.212
37.078, 15.746, 3.283
30.601, 16.932, 46.648
21.644, 14.666, 3.323
24.450, 11.915, 3.260
28.728, 48.964, 3.402
19.947, 41.843, 46.581
38.069, 45.446, 3.292
6.720, 15.069, 46.504
21.250, 48.500, 3.471
13.233, 42.820, 46.654
38.985, 25.815, 3.362
40.943, 8.874, 3.227
0.193, 21.975, 46.586
22.549, 1.657, 3.181
49.879, 29.656, 46.688
40.892, 29.527, 3.315
41.878, 49.540, 46.544
49.579, 37.636, 46.735
32.942, 26.530, 46.393
2.863, 3.169, 3.623
40.092, 49.032, 3.256
45.312, 23.550, 3.373
30.958, 3.937, 46.685
23.356, 45.479, 3.673
8.415, 40.894, 3.296
12.753, 3.558, 3.535
46.169, 46.544, 3.366
29.176, 37.848, 3.336
43.122, 6.012, 3.484
24.921, 48.711, 3.377
29.786, 31.639, 3.308
28.456, 6.566, 46.575
17.005, 5.228, 46.665
