x, y, z
34.923, 32.015, 3.367
28.275, 44.532, 46.703
36.381, 38.989, 3.269
3.326, 1.576, 3.176
38.781, 29.021, 3.313
28.802, 31.984, 3.309
40.816, 22.122, 46.793
47.721, 23.271, 46.671
49.913, 40.691, 3.265
25.455, 37.887, 45.878
35.860, 30.405, 46.679
12.646, 30.272, 3.349
11.113, 48.603, 46.577
6.445, 30.181, 46.797
48.912, 29.728, 3.285
7.196, 5.845, 46.483
41.205, 23.288, 3.285
12.812, 30.041, 46.506
44.791, 24.026, 3.283
31.556, 43.053, 46.856
42.260, 35.833, 46.545
38.470, 15.538, 46.549
5.327, 28.209, 3.885
15.354, 4.600, 3.408
15.863, 7.983, 3.420
4.966, 48.921, 46.346
15.395, 37.665, 3.230
9.231, 39.146, 46.820
21.463, 20.380, 3.543
13.212, 26.420, 46.827
45.827, 2.759, 3.565
21.393, 16.857, 3.493
16.528, 48.582, 3.491
40.703, 47.450, 3.484
48.713, 43.844, 46.821
1.859, 15.772, 42.610
22.257, 28.013, 3.749
49.277, 11.144, 46.646
49.177, 4.132, 3.466
28.040, 0.220, 3.583
4.485, 19.996, 46.655
43.536, 24.614, 46.380
17.955, 15.605, 3.300
45.785, 41.624, 46.350
26.389, 42.038, 3.444
49.274, 35.883, 46.622
12.970, 34.497, 3.233
46.957, 17.994, 3.547
23.678, 47.245, 3.484
37.349, 46.289, 3.611
32.850, 11.052, 46.950
9.802, 8.927, 3.383
2.443, 9.883, 46.313
1.890, 14.020, 46.868
2.955, 31.625, 46.767
34.100, 11.802, 3.461
15.384, 19.163, 46.647
31.594, 47.150, 46.470
29.630, 29.542, 46.593
15.998, 36.185, 46.633
16.906, 24.759, 46.827
25.228, 42.706, 46.450
14.662, 47.860, 46.514
15.452, 24.785, 3.593
34.064, 20.995, 46.781
16.121, 31.868, 46.477
36.260, 6.597, 3.499
33.888, 46.347, 3.441
15.715, 41.127, 3.202
4.649, 20.840, 3.449
4.694, 24.316, 3.546
21.681, 3.145, 3.474
26.416, 22.215, 46.493
48.894, 15.573, 46.625
7.363, 18.689, 3.282
38.940, 33.073, 46.443
3.155, 38.126, 3.427
2.831, 48.044, 3.826
35.776, 34.372, 46.718
47.533, 1.577, 46.648
22.039, 21.094, 46.639
34.913, 28.518, 3.356
24.036, 14.466, 3.155
26.472, 6.107, 46.774
23.484, 3.713, 46.805
2.921, 35.167, 46.648
43.434, 6.951, 46.643
7.616, 42.868, 3.149
33.194, 8.537, 3.390
44.528, 49.379, 46.454
35.667, 13.234, 46.609
4.803, 45.217, 3.527
19.856, 4.728, 46.746
33.080, 4.858, 3.433
43.001, 5.284, 3.065
3.968, 27.354, 46.464
19.712, 30.262, 46.899
34.322, 15.542, 3.257
18.312, 22.814, 3.123
5.716, 37.453, 46.666
23.783, 24.740, 46.734
4.683, 45.356, 46.547
7.160, 6.392, 3.106
48.155, 19.571, 46.100
45.379, 17.677, 46.739
12.718, 38.038, 46.862
2.020, 17.649, 46.611
9.856, 32.755, 3.589
3.490, 41.703, 3.361
47.155, 43.528, 3.151
31.778, 25.758, 3.344
30.598, 4.636, 46.694
9.998, 12.868, 42.861
31.836, 39.713, 46.453
22.893, 32.225, 46.494
7.770, 22.272, 3.432
12.420, 47.995, 3.394
22.189, 11.512, 46.647
5.438, 40.721, 46.398
15.019, 21.362, 3.409
19.713, 14.358, 46.538
37.416, 22.937, 46.747
36.704, 9.970, 46.802
32.038, 29.820, 3.420
23.287, 28.712, 46.369
46.428, 6.333, 3.500
10.374, 12.822, 3.328
14.072, 44.240, 46.742
39.513, 29.249, 46.647
49.267, 40.210, 46.695
16.604, 3.873, 46.569
45.977, 31.548, 3.216
32.625, 35.377, 46.166
26.122, 10.225, 46.732
30.153, 9.717, 3.205
10.951, 20.311, 3.211
10.144, 37.190, 3.451
6.514, 34.116, 46.457
16.404, 44.868, 3.356
25.906, 38.250, 3.293
11.530, 41.403, 46.555
8.926, 11.216, 46.457
24.384, 18.422, 3.632
22.718, 32.064, 3.575
20.350, 49.652, 3.582
2.194, 42.722, 46.540
26.220, 8.491, 3.396
43.609, 8.695, 3.186
45.410, 35.372, 3.474
13.561, 1.111, 46.617
25.129, 14.074, 46.843
40.441, 14.920, 3.366
31.920, 49.148, 42.992
2.032, 26.762, 3.116
19.183, 33.997, 46.695
29.274, 11.977, 46.467
38.412, 25.471, 3.408
