x, y, z
38.309, 30.440, 46.127
11.380, 17.549, 3.516
3.699, 5.886, 3.309
47.082, 9.460, 46.598
20.716, 28.396, 46.634
38.795, 47.270, 45.831
20.060, 8.511, 3.880
14.071, 21.964, 3.437
48.075, 30.765, 4.200
36.139, 46.510, 3.257
16.641, 4.662, 46.181
19.900, 19.864, 3.861
9.959, 10.499, 45.729
6.424, 47.254, 46.660
30.229, 8.878, 4.071
14.517, 27.135, 45.955
30.606, 14.449, 46.284
4.915, 16.144, 46.075
21.978, 32.572, 3.500
37.544, 13.779, 46.508
34.769, 6.238, 46.481
22.150, 48.474, 3.947
27.632, 15.829, 3.438
15.111, 11.006, 3.676
30.675, 48.103, 46.194
33.458, 38.111, 3.423
49.585, 22.105, 46.298
35.443, 27.416, 46.633
38.029, 9.395, 46.372
7.103, 12.984, 46.408
15.447, 18.054, 4.282
24.837, 19.646, 3.287
22.854, 36.117, 46.396
20.392, 16.773, 45.466
15.068, 31.315, 46.083
2.429, 25.543, 46.551
10.481, 28.896, 46.148
24.563, 23.378, 4.212
44.025, 28.528, 3.638
24.983, 36.367, 3.620
0.908, 35.322, 46.342
31.109, 35.958, 46.578
26.274, 45.128, 3.302
19.727, 33.975, 46.091
30.864, 35.562, 3.991
4.415, 34.205, 4.469
5.988, 24.219, 45.187
45.512, 13.523, 46.405
12.402, 47.255, 46.409
8.120, 21.998, 3.926
1.552, 16.788, 3.468
48.665, 41.341, 3.310
25.319, 8.693, 46.678
17.394, 48.373, 4.324
46.916, 11.308, 3.516
32.091, 44.098, 45.924
37.060, 21.771, 46.481
45.413, 22.941, 46.393
14.483, 40.700, 3.372
29.582, 7.079, 46.678
9.981, 6.235, 45.949
15.632, 32.086, 3.626
44.267, 41.206, 45.861
23.039, 39.346, 3.800
27.705, 19.356, 45.921
1.584, 9.188, 46.355
49.700, 3.722, 46.414
16.076, 22.855, 46.094
21.125, 39.973, 45.863
24.305, 14.219, 4.295
49.271, 1.956, 3.704
28.919, 28.572, 44.801
5.575, 37.202, 46.322
5.388, 38.449, 4.547
6.976, 26.764, 3.540
34.684, 22.971, 3.862
35.601, 18.050, 43.366
13.061, 40.155, 45.425
29.571, 0.413, 5.385
43.224, 13.256, 43.244
43.018, 34.942, 3.541
10.900, 16.760, 46.148
33.492, 0.803, 4.346
35.688, 28.901, 25.398
11.503, 49.399, 37.735
25.638, 0.073, 8.443
9.767, 36.896, 39.657
46.253, 18.855, 46.137
36.576, 36.251, 5.493
40.805, 22.837, 5.170
39.784, 10.685, 41.393
25.508, 9.854, 5.007
8.190, 2.667, 32.058
34.204, 27.277, 5.823
43.416, 38.582, 5.051
13.571, 26.410, 26.965
5.476, 24.159, 6.212
30.843, 23.247, 21.112
4.677, 33.805, 43.210
41.743, 11.275, 4.521
47.329, 47.644, 43.508
21.433, 5.494, 32.088
31.236, 45.583, 5.429
0.183, 44.396, 4.561
10.582, 10.740, 3.062
40.682, 19.906, 45.333
24.548, 30.323, 19.990
22.782, 30.672, 40.089
36.143, 30.451, 3.235
47.021, 47.048, 4.023
1.179, 20.586, 27.338
20.291, 6.728, 9.711
38.564, 1.384, 3.391
47.031, 5.986, 46.112
8.919, 44.115, 45.059
27.754, 13.851, 41.720
33.914, 6.654, 3.512
10.257, 16.235, 30.701
16.863, 25.929, 3.827
28.245, 11.115, 7.964
9.962, 48.598, 28.631
11.983, 34.354, 3.214
31.776, 21.947, 5.961
40.296, 4.099, 46.622
13.029, 20.802, 46.147
36.574, 5.781, 28.234
20.652, 9.469, 13.842
4.245, 13.429, 42.851
30.299, 32.480, 11.900
31.868, 41.797, 15.419
2.508, 25.396, 42.213
22.368, 40.375, 33.917
17.236, 10.874, 45.927
27.514, 4.465, 8.836
11.388, 34.831, 36.058
41.004, 41.291, 18.977
12.584, 20.555, 7.069
14.681, 33.577, 8.877
