zPositions, avgNumOfMethanesAtZ
0.000, 0.000
0.200, 0.000
0.400, 0.000
0.600, 0.000
0.800, 0.000
1.000, 0.000
1.200, 0.000
1.400, 0.000
1.600, 0.000
1.800, 0.000
2.000, 0.000
2.200, 0.000
2.400, 0.000
2.600, 0.000
2.800, 0.000
3.000, 0.005
3.200, 0.029
3.400, 0.046
3.600, 0.039
3.800, 0.026
4.000, 0.016
4.200, 0.011
4.400, 0.008
4.600, 0.006
4.800, 0.005
5.000, 0.004
5.200, 0.004
5.400, 0.003
5.600, 0.004
5.800, 0.003
6.000, 0.004
6.200, 0.004
6.400, 0.005
6.600, 0.006
6.800, 0.006
7.000, 0.007
7.200, 0.007
7.400, 0.007
7.600, 0.006
7.800, 0.006
8.000, 0.006
8.200, 0.005
8.400, 0.005
8.600, 0.004
8.800, 0.004
9.000, 0.004
9.200, 0.004
9.400, 0.004
9.600, 0.004
9.800, 0.004
10.000, 0.004
10.200, 0.004
10.400, 0.004
10.600, 0.004
10.800, 0.004
11.000, 0.004
11.200, 0.004
11.400, 0.003
11.600, 0.003
11.800, 0.003
12.000, 0.003
12.200, 0.003
12.400, 0.003
12.600, 0.003
12.800, 0.003
13.000, 0.003
13.200, 0.003
13.400, 0.003
13.600, 0.003
13.800, 0.003
14.000, 0.003
14.200, 0.003
14.400, 0.003
14.600, 0.003
14.800, 0.003
15.000, 0.003
15.200, 0.003
15.400, 0.003
15.600, 0.003
15.800, 0.003
16.000, 0.003
16.200, 0.003
16.400, 0.003
16.600, 0.003
16.800, 0.003
17.000, 0.003
17.200, 0.003
17.400, 0.003
17.600, 0.003
17.800, 0.003
18.000, 0.003
18.200, 0.003
18.400, 0.003
18.600, 0.003
18.800, 0.003
19.000, 0.003
19.200, 0.003
19.400, 0.003
19.600, 0.003
19.800, 0.003
20.000, 0.003
20.200, 0.003
20.400, 0.003
20.600, 0.003
20.800, 0.003
21.000, 0.003
21.200, 0.003
21.400, 0.003
21.600, 0.003
21.800, 0.003
22.000, 0.003
22.200, 0.003
22.400, 0.003
22.600, 0.003
22.800, 0.003
23.000, 0.003
23.200, 0.003
23.400, 0.003
23.600, 0.003
23.800, 0.003
24.000, 0.003
24.200, 0.003
24.400, 0.003
24.600, 0.003
24.800, 0.003
25.000, 0.003
25.200, 0.003
25.400, 0.003
25.600, 0.003
25.800, 0.003
26.000, 0.003
26.200, 0.003
26.400, 0.003
26.600, 0.003
26.800, 0.003
27.000, 0.003
27.200, 0.003
27.400, 0.003
27.600, 0.003
27.800, 0.003
28.000, 0.003
28.200, 0.004
28.400, 0.004
28.600, 0.004
28.800, 0.004
29.000, 0.004
29.200, 0.004
29.400, 0.004
29.600, 0.004
29.800, 0.004
30.000, 0.004
30.200, 0.004
30.400, 0.004
30.600, 0.004
30.800, 0.004
31.000, 0.004
31.200, 0.004
31.400, 0.005
31.600, 0.005
31.800, 0.006
32.000, 0.006
32.200, 0.007
32.400, 0.007
32.600, 0.007
32.800, 0.007
33.000, 0.007
33.200, 0.006
33.400, 0.005
33.600, 0.004
33.800, 0.004
34.000, 0.003
34.200, 0.003
34.400, 0.003
34.600, 0.004
34.800, 0.004
35.000, 0.004
35.200, 0.006
35.400, 0.008
35.600, 0.011
35.800, 0.017
36.000, 0.027
36.200, 0.039
36.400, 0.046
36.600, 0.029
36.800, 0.005
37.000, 0.000
37.200, 0.000
37.400, 0.000
37.600, 0.000
37.800, 0.000
38.000, 0.000
38.200, 0.000
38.400, 0.000
38.600, 0.000
38.800, 0.000
39.000, 0.000
39.200, 0.000
39.400, 0.000
39.600, 0.000
