zPositions, avgNumOfMethanesAtZ
0.000, 0.000
0.200, 0.000
0.400, 0.000
0.600, 0.000
0.800, 0.000
1.000, 0.000
1.200, 0.000
1.400, 0.000
1.600, 0.000
1.800, 0.000
2.000, 0.000
2.200, 0.000
2.400, 0.000
2.600, 0.000
2.800, 0.000
3.000, 0.003
3.200, 0.021
3.400, 0.036
3.600, 0.031
3.800, 0.022
4.000, 0.014
4.200, 0.009
4.400, 0.006
4.600, 0.004
4.800, 0.004
5.000, 0.003
5.200, 0.002
5.400, 0.002
5.600, 0.002
5.800, 0.002
6.000, 0.002
6.200, 0.002
6.400, 0.003
6.600, 0.003
6.800, 0.003
7.000, 0.003
7.200, 0.003
7.400, 0.003
7.600, 0.003
7.800, 0.002
8.000, 0.002
8.200, 0.002
8.400, 0.002
8.600, 0.002
8.800, 0.002
9.000, 0.002
9.200, 0.002
9.400, 0.002
9.600, 0.002
9.800, 0.002
10.000, 0.002
10.200, 0.001
10.400, 0.001
10.600, 0.001
10.800, 0.001
11.000, 0.001
11.200, 0.001
11.400, 0.001
11.600, 0.001
11.800, 0.001
12.000, 0.001
12.200, 0.001
12.400, 0.001
12.600, 0.001
12.800, 0.001
13.000, 0.001
13.200, 0.001
13.400, 0.001
13.600, 0.001
13.800, 0.001
14.000, 0.001
14.200, 0.001
14.400, 0.001
14.600, 0.001
14.800, 0.001
15.000, 0.001
15.200, 0.001
15.400, 0.001
15.600, 0.001
15.800, 0.001
16.000, 0.001
16.200, 0.001
16.400, 0.001
16.600, 0.001
16.800, 0.001
17.000, 0.001
17.200, 0.001
17.400, 0.001
17.600, 0.001
17.800, 0.001
18.000, 0.001
18.200, 0.001
18.400, 0.001
18.600, 0.001
18.800, 0.001
19.000, 0.001
19.200, 0.001
19.400, 0.001
19.600, 0.001
19.800, 0.001
20.000, 0.001
20.200, 0.001
20.400, 0.001
20.600, 0.001
20.800, 0.001
21.000, 0.001
21.200, 0.001
21.400, 0.001
21.600, 0.001
21.800, 0.001
22.000, 0.001
22.200, 0.001
22.400, 0.001
22.600, 0.001
22.800, 0.001
23.000, 0.001
23.200, 0.001
23.400, 0.001
23.600, 0.001
23.800, 0.001
24.000, 0.001
24.200, 0.001
24.400, 0.001
24.600, 0.001
24.800, 0.001
25.000, 0.001
25.200, 0.001
25.400, 0.001
25.600, 0.001
25.800, 0.001
26.000, 0.001
26.200, 0.001
26.400, 0.001
26.600, 0.001
26.800, 0.001
27.000, 0.001
27.200, 0.001
27.400, 0.001
27.600, 0.001
27.800, 0.001
28.000, 0.001
28.200, 0.001
28.400, 0.001
28.600, 0.001
28.800, 0.001
29.000, 0.001
29.200, 0.001
29.400, 0.001
29.600, 0.001
29.800, 0.001
30.000, 0.002
30.200, 0.002
30.400, 0.002
30.600, 0.002
30.800, 0.002
31.000, 0.002
31.200, 0.002
31.400, 0.002
31.600, 0.002
31.800, 0.002
32.000, 0.002
32.200, 0.003
32.400, 0.003
32.600, 0.003
32.800, 0.003
33.000, 0.003
33.200, 0.003
33.400, 0.002
33.600, 0.002
33.800, 0.002
34.000, 0.002
34.200, 0.002
34.400, 0.002
34.600, 0.003
34.800, 0.003
35.000, 0.003
35.200, 0.004
35.400, 0.006
35.600, 0.009
35.800, 0.014
36.000, 0.021
36.200, 0.031
36.400, 0.035
36.600, 0.021
36.800, 0.004
37.000, 0.000
37.200, 0.000
37.400, 0.000
37.600, 0.000
37.800, 0.000
38.000, 0.000
38.200, 0.000
38.400, 0.000
38.600, 0.000
38.800, 0.000
39.000, 0.000
39.200, 0.000
39.400, 0.000
39.600, 0.000
