x, y, z
20.517, 3.779, 36.324
30.970, 21.336, 3.227
21.447, 31.893, 3.294
9.958, 5.520, 36.428
16.547, 37.786, 3.741
37.658, 11.603, 36.421
39.050, 0.080, 4.262
11.944, 26.996, 36.181
20.717, 39.386, 3.337
34.573, 30.367, 36.084
24.885, 36.575, 3.642
12.002, 2.380, 3.865
33.241, 0.787, 35.848
15.130, 35.389, 36.790
16.220, 22.924, 3.498
2.958, 1.258, 4.642
25.451, 1.931, 36.116
22.916, 7.809, 36.604
7.559, 37.938, 3.560
27.617, 37.995, 36.693
1.087, 11.662, 3.336
17.485, 8.400, 36.210
21.350, 7.046, 3.306
1.960, 32.233, 36.485
17.495, 33.130, 3.782
29.173, 26.231, 4.404
5.949, 4.046, 36.155
30.635, 30.288, 36.173
3.215, 37.477, 3.713
3.109, 13.701, 36.344
26.996, 19.664, 3.451
6.307, 18.427, 36.340
33.819, 29.153, 4.249
22.367, 29.407, 36.056
36.378, 37.145, 36.311
12.584, 8.674, 36.041
14.758, 19.269, 36.005
38.279, 31.774, 36.552
33.016, 34.265, 36.263
37.064, 25.783, 3.775
29.700, 18.276, 36.610
5.052, 8.598, 3.819
16.538, 1.402, 4.185
17.608, 29.256, 3.171
20.660, 18.414, 36.282
13.468, 18.337, 3.215
2.687, 30.436, 3.721
31.291, 16.046, 3.360
29.299, 1.976, 36.359
22.623, 28.334, 3.379
4.791, 0.241, 36.241
24.817, 35.548, 36.259
32.003, 7.649, 3.737
32.288, 5.679, 36.768
15.834, 0.034, 36.727
27.424, 6.061, 36.389
10.929, 29.836, 3.424
28.072, 23.454, 36.573
6.349, 26.268, 35.519
32.819, 21.832, 36.247
16.370, 14.755, 3.320
5.908, 5.149, 3.403
2.228, 24.096, 36.773
36.147, 7.892, 35.941
34.827, 2.286, 3.437
39.658, 5.858, 36.512
14.443, 31.019, 3.455
1.410, 1.861, 36.552
1.019, 8.099, 3.744
16.432, 29.822, 36.278
14.141, 26.807, 3.354
18.369, 22.763, 36.154
15.657, 11.535, 36.806
23.227, 2.293, 3.464
19.905, 10.762, 5.358
36.287, 2.840, 36.499
20.716, 33.532, 36.318
10.708, 34.283, 35.346
7.001, 31.300, 3.712
11.630, 12.428, 36.328
0.852, 21.588, 3.322
35.085, 11.577, 4.048
23.541, 22.661, 36.581
13.906, 6.585, 3.550
10.990, 10.032, 4.692
24.815, 16.408, 36.300
9.148, 29.109, 34.974
10.278, 6.055, 4.467
6.065, 30.178, 36.663
11.949, 37.705, 36.366
18.652, 37.495, 36.609
10.951, 19.341, 35.431
27.981, 13.329, 35.912
0.604, 18.146, 36.491
11.735, 23.295, 36.674
12.045, 14.434, 3.678
19.026, 14.052, 35.253
9.996, 19.172, 6.608
27.276, 8.544, 4.894
10.282, 13.603, 8.353
31.325, 11.868, 3.565
7.398, 35.142, 6.642
9.622, 26.616, 5.788
25.358, 10.555, 34.271
16.284, 3.738, 36.311
15.519, 24.921, 33.859
20.592, 14.981, 4.662
7.507, 12.618, 3.339
38.485, 29.430, 3.728
11.073, 35.070, 3.260
32.476, 15.288, 36.540
29.724, 39.845, 32.745
31.955, 25.563, 36.385
4.732, 2.413, 31.594
0.222, 37.961, 36.322
9.097, 1.347, 35.781
12.575, 2.085, 36.080
11.751, 24.891, 8.603
39.472, 3.305, 32.933
11.713, 21.956, 4.958
12.825, 29.318, 7.985
20.633, 1.089, 33.559
0.121, 35.762, 7.173
29.672, 1.348, 25.624
18.371, 33.755, 24.252
21.538, 24.605, 34.093
1.163, 12.205, 30.431
18.409, 6.593, 6.125
2.748, 13.229, 17.707
4.616, 14.213, 5.368
35.387, 7.061, 6.916
4.128, 33.391, 5.451
16.679, 20.887, 27.904
11.234, 38.645, 3.905
26.508, 31.498, 36.687
6.534, 4.940, 23.571
36.056, 26.678, 29.319
37.077, 16.940, 34.176
1.783, 6.543, 21.996
27.045, 5.227, 6.626
16.906, 0.255, 33.250
37.539, 31.092, 26.207
30.506, 22.047, 11.093
3.035, 38.892, 12.733
37.998, 18.465, 28.276
29.305, 35.803, 4.061
33.793, 32.798, 29.700
38.516, 29.359, 21.526
38.718, 14.593, 13.967
1.223, 16.022, 4.788
27.586, 17.483, 31.863
6.119, 0.544, 8.090
26.287, 19.441, 10.702
25.512, 16.687, 13.621
21.072, 33.429, 14.821
22.456, 19.825, 27.428
17.659, 18.342, 25.112
13.589, 4.456, 6.697
35.192, 39.882, 17.156
2.884, 34.463, 33.669
32.099, 8.841, 30.884
23.746, 4.286, 32.521
6.148, 22.615, 4.399
30.439, 10.736, 7.598
15.377, 29.962, 32.318
39.732, 6.930, 30.753
25.446, 1.711, 7.399
39.623, 24.304, 11.826
2.883, 5.715, 8.545
37.221, 36.055, 31.012
26.979, 31.882, 3.505
13.803, 36.516, 29.047
4.406, 36.535, 36.601
25.358, 15.277, 9.611
10.646, 34.047, 31.477
28.416, 15.064, 11.891
38.873, 3.134, 28.458
2.304, 31.317, 11.273
17.930, 19.101, 13.842
35.516, 16.897, 12.692
35.457, 6.691, 12.353
20.725, 12.229, 31.703
19.810, 28.966, 17.681
15.243, 26.290, 17.626
24.183, 30.180, 22.798
21.751, 4.805, 6.048
37.100, 19.509, 17.596
2.914, 14.847, 32.293
21.432, 27.775, 9.311
6.975, 8.196, 28.845
22.274, 23.068, 7.281
19.174, 15.120, 28.859
30.792, 11.256, 14.994
28.044, 38.566, 11.510
22.240, 22.058, 30.760
38.151, 39.920, 33.788
21.241, 31.157, 7.006
22.425, 29.194, 29.204
36.240, 28.418, 7.266
28.094, 34.579, 10.336
38.366, 4.167, 17.465
15.988, 10.721, 4.983
18.834, 38.335, 8.943
21.364, 32.769, 29.375
28.988, 31.106, 19.076
34.920, 21.120, 12.305
30.260, 26.281, 8.330
23.636, 29.252, 12.778
32.706, 13.331, 10.261
26.765, 25.145, 23.403
24.970, 10.603, 13.197
19.507, 4.087, 25.477
25.308, 35.012, 27.394
34.572, 14.085, 30.101
4.202, 22.857, 22.207
34.756, 37.272, 22.541
4.024, 11.991, 24.119
3.676, 30.032, 31.905
9.081, 1.575, 23.334
19.198, 18.634, 20.109
31.840, 7.156, 11.605
