x, y, z
12.689, 31.909, 36.441
8.987, 26.210, 3.416
4.504, 11.892, 3.853
12.854, 31.886, 3.742
15.199, 10.233, 36.615
29.960, 5.105, 36.544
16.003, 37.544, 36.478
23.937, 19.640, 4.608
23.912, 4.854, 3.746
11.910, 7.601, 4.030
20.886, 8.007, 36.386
21.318, 8.723, 3.871
25.461, 17.821, 36.123
17.064, 33.866, 35.972
0.193, 36.303, 36.371
14.580, 17.180, 3.641
27.193, 30.880, 3.700
1.239, 7.592, 36.306
1.164, 31.218, 35.286
3.561, 12.108, 36.301
15.345, 28.578, 3.702
37.500, 17.658, 3.731
4.045, 33.203, 36.267
7.765, 14.650, 3.865
30.630, 10.070, 3.630
13.148, 2.845, 4.032
11.766, 3.966, 35.718
24.068, 36.250, 4.155
26.069, 5.033, 36.138
20.071, 12.065, 36.507
38.306, 13.474, 4.485
5.652, 27.839, 36.246
39.751, 12.423, 35.824
18.571, 11.385, 3.790
1.401, 1.263, 36.524
35.169, 11.162, 3.231
35.025, 17.999, 36.819
34.374, 10.312, 35.535
28.071, 1.632, 35.502
32.110, 5.411, 4.767
12.677, 8.075, 34.070
31.629, 31.804, 36.688
13.166, 25.420, 3.989
34.682, 3.780, 36.577
33.008, 24.461, 3.823
12.745, 26.085, 36.382
35.546, 2.238, 3.664
20.305, 3.414, 3.487
36.779, 7.424, 3.685
33.948, 22.334, 35.635
25.853, 1.434, 3.354
9.276, 11.079, 36.024
9.738, 0.981, 3.725
9.163, 22.504, 36.279
37.586, 14.918, 33.664
38.691, 3.803, 35.469
15.710, 5.382, 36.117
38.771, 27.273, 36.274
38.737, 20.991, 5.238
30.968, 27.824, 34.342
16.866, 21.601, 4.168
30.985, 29.798, 4.507
14.592, 24.634, 27.565
30.093, 34.393, 5.287
25.742, 12.052, 35.745
3.886, 39.598, 21.356
8.685, 36.741, 3.625
36.505, 36.677, 3.355
25.556, 39.955, 6.985
13.510, 36.960, 4.619
0.850, 39.524, 3.332
28.588, 10.422, 28.840
38.374, 25.176, 3.799
1.128, 23.299, 24.329
2.089, 36.678, 29.581
27.040, 5.878, 32.260
36.797, 33.642, 35.378
35.615, 1.102, 26.634
32.142, 22.748, 26.977
8.982, 1.995, 32.012
8.641, 14.520, 32.023
0.375, 34.366, 15.890
24.260, 34.540, 25.665
4.557, 15.148, 17.773
3.161, 16.195, 3.518
29.228, 25.436, 26.665
11.855, 18.313, 36.422
19.502, 28.749, 10.726
24.131, 28.734, 16.210
31.320, 27.121, 21.208
10.703, 28.784, 7.125
5.433, 30.700, 6.695
10.337, 38.874, 9.567
26.382, 17.522, 10.880
21.684, 8.020, 9.301
35.951, 29.459, 22.371
39.831, 29.080, 6.939
39.235, 2.577, 5.802
22.153, 24.138, 3.691
35.766, 37.117, 36.671
36.617, 5.711, 33.002
8.136, 34.674, 20.180
13.906, 23.949, 13.608
23.059, 14.855, 11.138
12.091, 11.769, 17.641
25.668, 36.384, 7.595
26.804, 29.937, 18.395
