x, y, z
39.818, 36.666, 36.314
9.686, 5.776, 35.786
1.799, 9.660, 36.249
6.785, 2.610, 36.659
33.214, 2.971, 4.122
29.935, 22.460, 3.368
33.713, 7.550, 36.648
14.944, 25.220, 36.433
17.006, 26.500, 5.365
10.425, 0.516, 3.569
2.231, 4.188, 3.476
7.840, 17.376, 3.929
36.472, 39.885, 36.616
36.295, 20.408, 3.489
10.136, 15.369, 35.447
10.784, 26.470, 3.336
20.907, 34.028, 36.558
16.478, 11.453, 36.508
29.173, 15.090, 36.694
0.881, 8.062, 3.673
25.803, 10.600, 35.450
20.927, 4.634, 36.364
11.599, 13.726, 3.928
29.414, 36.373, 35.778
34.359, 34.591, 36.245
5.879, 38.126, 36.106
16.263, 1.642, 36.408
2.479, 27.730, 36.350
8.418, 9.872, 3.465
24.833, 34.174, 36.059
16.879, 16.304, 3.576
12.184, 18.199, 4.386
26.036, 5.492, 3.473
12.107, 11.977, 36.229
33.439, 16.568, 3.525
22.389, 5.605, 3.579
15.362, 36.031, 3.193
12.053, 0.656, 36.522
27.529, 28.492, 3.813
25.599, 38.119, 36.491
23.519, 34.395, 3.574
39.323, 4.214, 36.543
6.986, 18.529, 36.132
33.696, 24.722, 4.286
24.653, 9.769, 3.821
20.623, 10.805, 4.258
22.779, 13.704, 36.220
33.046, 12.623, 3.642
34.429, 3.401, 36.716
21.729, 15.043, 3.933
13.620, 23.755, 3.891
34.834, 29.517, 3.765
17.988, 6.840, 3.486
28.814, 8.996, 3.827
38.558, 20.562, 36.349
19.470, 9.073, 36.593
15.833, 7.214, 36.419
9.756, 33.489, 35.851
18.537, 24.772, 36.492
15.436, 31.375, 3.591
2.520, 17.951, 4.475
20.301, 32.722, 3.574
4.469, 30.761, 3.541
19.813, 27.506, 3.259
12.582, 30.824, 36.528
32.169, 19.381, 5.621
19.968, 19.471, 3.248
28.975, 8.686, 36.106
2.291, 22.922, 36.768
24.382, 7.372, 36.793
38.233, 5.349, 4.486
37.094, 10.324, 3.287
5.841, 7.143, 3.770
23.328, 27.490, 3.890
38.507, 24.343, 36.500
9.137, 26.490, 36.085
10.009, 6.205, 3.525
7.706, 37.246, 3.739
33.420, 23.131, 36.265
25.468, 16.510, 3.985
39.867, 13.160, 4.343
16.299, 32.898, 36.581
27.135, 24.383, 34.869
7.209, 28.036, 3.223
37.640, 27.479, 4.939
2.722, 39.936, 4.831
28.991, 1.205, 36.055
3.490, 23.277, 3.853
12.365, 29.471, 5.443
36.552, 16.491, 5.953
25.112, 22.157, 4.357
6.027, 2.027, 3.498
0.537, 32.778, 3.489
28.433, 36.471, 3.773
22.892, 0.714, 35.725
4.449, 13.773, 3.838
18.349, 36.972, 36.591
2.822, 15.142, 36.126
12.575, 18.779, 34.932
14.316, 1.087, 3.373
34.166, 33.979, 3.579
35.437, 39.464, 3.786
6.630, 7.827, 36.441
12.777, 39.752, 33.029
15.809, 20.434, 5.480
16.464, 20.749, 36.177
0.201, 37.265, 3.679
22.065, 29.526, 36.554
37.824, 23.766, 7.005
30.151, 27.903, 36.698
24.219, 28.169, 32.935
30.132, 33.310, 10.342
16.688, 18.010, 33.422
3.821, 32.060, 35.362
3.398, 26.143, 33.199
36.936, 30.181, 35.230
3.366, 25.499, 15.814
3.700, 26.790, 4.516
12.097, 7.475, 33.042
34.882, 14.374, 25.674
22.202, 39.526, 11.788
25.581, 8.858, 31.916
13.129, 14.367, 31.764
9.055, 1.943, 24.369
16.408, 5.478, 12.514
22.090, 17.192, 24.223
30.590, 33.458, 16.269
31.083, 13.853, 7.340
12.980, 34.718, 35.041
8.828, 36.863, 13.181
4.159, 6.263, 21.146
19.640, 14.912, 33.311
5.133, 11.276, 7.027
22.248, 19.966, 13.469
22.209, 22.568, 7.528
29.538, 22.638, 9.704
27.833, 38.298, 15.159
21.845, 34.553, 7.295
8.630, 26.166, 6.665
18.565, 19.662, 22.919
25.075, 8.918, 10.950
17.881, 0.822, 12.621
21.373, 31.463, 21.446
22.446, 38.954, 19.102
38.717, 13.007, 35.926
5.539, 13.292, 19.851
9.248, 21.480, 5.864
8.657, 13.160, 32.932
34.459, 0.620, 16.582
5.026, 27.504, 8.976
7.989, 29.991, 36.815
18.879, 4.147, 7.578
23.934, 16.557, 9.403
22.787, 24.873, 20.498
28.409, 16.976, 21.489
24.235, 2.020, 4.670
18.689, 15.850, 9.181
2.298, 16.027, 23.928
36.022, 18.327, 11.194
14.943, 10.946, 32.503
18.378, 4.712, 16.574
21.864, 12.325, 30.751
36.779, 33.772, 7.347
37.849, 39.891, 14.947
19.655, 39.557, 7.876
20.314, 13.687, 25.990
36.269, 5.340, 9.310
11.485, 6.937, 17.239
24.895, 17.207, 28.563
15.685, 33.908, 11.512
33.379, 16.011, 16.347
19.651, 35.871, 12.322
24.662, 35.368, 32.063
25.843, 5.000, 7.405
31.328, 27.611, 5.837
31.698, 26.604, 19.563
20.813, 33.988, 15.951
28.514, 29.733, 7.480
11.198, 35.261, 18.380
9.814, 2.491, 30.980
26.892, 27.135, 10.112
39.568, 28.738, 11.034
20.703, 26.799, 12.040
26.370, 21.091, 31.082
38.983, 5.138, 14.764
20.183, 20.919, 26.742
10.494, 22.702, 21.198
6.067, 2.276, 7.219
25.903, 36.589, 8.457
25.701, 33.556, 16.007
27.946, 0.343, 27.205
34.278, 1.833, 12.338
9.421, 33.921, 31.758
3.325, 6.993, 15.953
29.449, 10.324, 9.968
39.360, 11.360, 14.028
32.808, 17.211, 29.733
7.936, 29.251, 8.284
12.586, 11.193, 17.273
34.595, 26.283, 30.230
24.317, 5.526, 15.728
12.653, 35.197, 23.930
8.932, 26.901, 11.069
22.673, 6.690, 28.812
20.179, 2.709, 28.646
35.805, 19.545, 25.673
8.558, 18.746, 32.517
15.198, 38.632, 29.992
33.262, 15.428, 10.513
32.797, 5.153, 16.833
20.861, 23.383, 31.370
1.049, 28.190, 18.644
34.875, 28.517, 23.351
30.912, 33.631, 33.649
23.598, 39.537, 15.261
