x, y, z
39.587, 38.541, 3.609
5.166, 19.070, 36.386
18.836, 28.007, 3.357
18.623, 13.536, 36.362
24.876, 33.284, 36.585
5.165, 29.483, 36.052
22.126, 29.799, 36.120
14.152, 24.007, 4.265
24.600, 8.119, 3.344
15.996, 6.581, 3.343
34.849, 33.394, 3.499
19.990, 0.766, 3.736
26.516, 31.051, 33.530
11.041, 1.803, 36.026
38.331, 1.509, 36.373
19.521, 17.657, 13.267
7.580, 35.305, 10.649
25.058, 27.783, 13.932
20.969, 39.046, 24.352
10.471, 8.445, 36.637
36.013, 20.369, 36.426
27.107, 0.766, 5.649
1.966, 36.154, 35.749
17.987, 30.014, 35.713
33.177, 5.428, 3.532
24.502, 28.410, 8.908
1.245, 22.194, 28.033
29.762, 18.477, 16.800
36.029, 15.088, 28.517
20.344, 26.511, 23.258
19.954, 17.619, 6.215
8.751, 2.846, 27.931
11.293, 3.115, 7.398
12.092, 22.184, 32.794
