x, y, z
19.657, 13.109, 35.939
10.007, 0.446, 35.999
31.518, 19.589, 4.094
9.714, 22.358, 36.225
32.882, 13.119, 36.209
29.577, 14.713, 36.546
37.307, 19.167, 3.521
0.591, 14.859, 4.309
33.122, 38.643, 3.374
24.264, 0.422, 4.055
8.907, 35.318, 3.729
37.223, 13.913, 3.363
2.804, 3.317, 36.307
29.805, 11.293, 3.670
1.348, 39.279, 36.707
25.795, 37.107, 3.531
2.769, 21.154, 36.250
31.806, 23.473, 3.496
27.919, 15.382, 3.596
20.839, 36.673, 36.154
6.781, 7.241, 36.772
13.288, 7.915, 3.831
17.680, 31.377, 34.139
16.791, 6.063, 3.214
37.640, 15.823, 35.966
5.506, 15.882, 3.365
14.334, 31.767, 36.518
29.469, 31.244, 36.424
16.136, 28.458, 36.330
21.686, 27.597, 36.013
10.975, 21.578, 4.104
33.621, 27.543, 36.404
39.818, 24.529, 36.416
32.377, 29.828, 3.824
9.238, 30.077, 36.520
10.313, 39.984, 3.721
7.583, 15.649, 36.735
31.594, 23.810, 36.619
32.330, 7.814, 4.336
10.908, 33.734, 36.336
1.317, 6.806, 35.947
11.840, 13.802, 3.680
11.489, 10.089, 36.008
6.109, 3.962, 3.990
25.149, 7.025, 36.750
15.079, 24.224, 36.889
8.551, 7.197, 4.151
2.409, 35.473, 36.366
29.328, 1.643, 36.321
5.843, 20.392, 3.257
35.354, 22.835, 35.893
36.686, 11.932, 36.683
1.747, 15.821, 36.392
27.194, 22.518, 3.848
20.833, 20.613, 36.246
3.817, 11.767, 3.998
18.817, 6.879, 36.097
12.959, 25.527, 4.900
33.915, 12.198, 3.346
36.805, 24.715, 3.525
17.780, 31.138, 3.343
19.333, 17.144, 36.650
3.084, 37.932, 3.498
6.099, 38.519, 36.014
11.412, 30.383, 4.972
34.156, 16.637, 4.766
29.705, 27.325, 35.209
24.846, 26.428, 3.396
2.209, 3.275, 3.740
37.471, 28.261, 36.338
14.222, 14.861, 36.547
15.377, 22.737, 3.793
16.281, 26.869, 3.367
21.416, 32.824, 35.971
11.931, 3.582, 3.499
23.873, 14.076, 36.460
13.558, 16.793, 4.690
5.656, 24.947, 36.185
28.572, 26.433, 4.627
20.840, 6.164, 4.183
25.791, 25.672, 36.250
3.104, 10.368, 36.578
11.262, 17.636, 35.942
3.636, 0.148, 33.299
25.771, 2.337, 36.344
22.553, 23.547, 4.111
19.893, 12.159, 3.612
39.653, 35.962, 3.527
38.906, 1.199, 3.858
5.609, 33.390, 36.125
37.503, 32.575, 35.480
15.432, 9.914, 36.719
37.378, 0.846, 35.282
1.603, 6.965, 3.554
28.471, 0.241, 3.572
6.977, 31.931, 3.387
12.983, 33.496, 3.767
32.620, 7.591, 36.545
38.149, 5.049, 36.038
8.794, 18.254, 6.011
23.120, 15.782, 4.726
9.744, 21.245, 7.823
3.701, 35.206, 5.606
26.005, 20.324, 35.003
16.712, 34.777, 3.760
25.843, 32.158, 3.521
14.963, 36.597, 35.660
24.404, 37.232, 8.548
2.519, 18.472, 3.584
37.212, 5.350, 4.460
24.332, 20.121, 3.488
11.631, 32.217, 33.073
29.852, 18.970, 35.533
38.664, 10.612, 6.984
38.325, 35.900, 34.587
0.241, 11.540, 34.430
12.342, 5.631, 36.757
36.518, 15.991, 32.494
8.397, 33.501, 30.976
30.851, 20.218, 30.862
6.796, 11.481, 35.494
33.246, 19.365, 36.434
31.815, 2.207, 4.418
38.596, 19.067, 33.924
28.759, 35.493, 6.390
4.864, 18.047, 32.787
5.004, 36.509, 31.658
38.225, 27.793, 6.731
21.864, 9.575, 6.221
30.184, 10.526, 33.267
39.838, 39.371, 32.354
1.673, 38.122, 29.043
37.557, 11.434, 32.047
27.074, 4.636, 4.330
20.503, 33.836, 3.951
5.404, 30.396, 31.639
37.407, 19.124, 29.854
2.002, 19.708, 30.398
10.954, 24.543, 14.259
27.926, 23.680, 33.937
25.301, 12.277, 30.763
19.765, 10.339, 30.632
22.513, 27.565, 11.790
1.920, 22.097, 16.183
4.088, 6.135, 30.505
22.128, 23.640, 33.366
14.711, 30.545, 11.389
22.202, 23.702, 8.184
6.140, 36.881, 20.939
2.891, 4.299, 10.037
25.721, 39.692, 10.716
21.512, 4.623, 32.298
14.427, 2.195, 34.806
24.794, 7.848, 4.057
18.428, 32.294, 10.014
2.643, 26.224, 13.238
10.204, 38.945, 32.232
39.977, 38.262, 6.418
2.441, 1.907, 30.031
30.108, 24.050, 16.303
2.576, 29.581, 7.341
20.339, 1.129, 36.711
29.527, 31.937, 17.605
32.954, 38.020, 35.797
7.845, 25.100, 3.938
11.963, 38.364, 7.623
11.831, 21.696, 33.035
27.167, 39.531, 6.812
14.502, 8.286, 25.833
12.921, 5.899, 32.910
36.516, 29.417, 15.955
16.073, 30.343, 15.046
39.064, 15.301, 17.402
2.779, 4.853, 15.571
17.533, 17.046, 4.536
33.576, 9.351, 30.915
24.082, 23.479, 13.224
28.696, 1.449, 31.422
29.312, 16.096, 32.336
4.751, 8.241, 10.385
24.597, 39.523, 23.553
35.481, 6.672, 33.681
20.088, 6.212, 16.680
24.115, 29.304, 17.049
9.771, 12.715, 10.573
13.454, 12.996, 16.786
2.446, 34.053, 27.363
28.768, 26.783, 23.310
5.757, 0.786, 19.573
10.773, 17.789, 30.946
7.819, 35.671, 25.942
24.080, 24.595, 30.005
20.538, 31.760, 14.360
26.165, 36.470, 30.246
28.583, 27.998, 31.154
6.092, 14.739, 11.991
34.193, 1.493, 31.605
17.618, 28.283, 12.424
25.606, 25.133, 17.679
27.923, 37.292, 34.133
12.549, 23.919, 22.507
3.522, 28.259, 3.573
39.183, 8.387, 23.830
34.154, 33.910, 36.327
9.104, 6.380, 28.435
32.267, 28.303, 16.501
3.609, 25.142, 18.838
19.077, 2.012, 5.361
35.560, 26.023, 11.406
34.753, 37.694, 8.540
36.633, 35.957, 12.253
33.647, 21.488, 15.541
3.747, 4.270, 21.491
35.014, 16.547, 26.140
29.376, 35.585, 29.114
26.384, 22.059, 24.924
27.379, 7.627, 30.112
35.696, 0.288, 5.728
39.744, 28.452, 20.843
16.915, 28.680, 30.467
39.173, 30.018, 10.131
36.704, 24.442, 19.085
6.073, 13.772, 20.477
37.839, 34.652, 24.669
0.540, 14.110, 9.352
16.452, 8.690, 29.353
32.600, 28.886, 21.329
8.847, 4.541, 23.603
32.897, 17.845, 12.630
37.403, 14.879, 13.510
39.986, 35.223, 31.080
7.292, 39.149, 27.736
13.449, 32.128, 17.636
0.791, 7.774, 27.987
10.101, 3.059, 16.635
4.365, 1.206, 14.847
37.184, 24.499, 31.145
24.737, 10.124, 21.258
28.760, 5.991, 36.161
6.271, 11.499, 26.463
38.019, 31.195, 24.552
9.727, 39.618, 25.024
22.268, 10.008, 34.507
34.608, 6.427, 7.641
1.416, 39.384, 11.812
7.811, 3.509, 12.986
3.543, 8.476, 22.674
12.414, 13.016, 7.454
34.305, 19.581, 7.555
19.003, 22.068, 4.844
18.282, 20.308, 30.994
36.313, 11.582, 28.249
22.831, 37.983, 19.741
3.104, 18.446, 9.609
22.896, 28.962, 25.260
12.349, 14.862, 28.564
18.094, 30.530, 24.885
3.339, 30.491, 34.873
28.936, 19.586, 10.640
18.218, 31.974, 28.192
17.095, 7.370, 32.952
16.610, 12.790, 9.261
27.333, 18.773, 14.400
27.968, 11.317, 6.924
24.396, 3.928, 17.765
26.468, 21.259, 17.792
19.822, 18.855, 17.230
35.212, 2.854, 14.033
8.578, 16.616, 24.274
13.819, 16.653, 23.736
39.304, 19.036, 15.363
22.756, 24.210, 21.394
39.054, 1.982, 16.948
18.641, 22.918, 27.545
32.373, 25.265, 28.485
14.735, 20.708, 7.651
11.704, 35.265, 30.910
15.398, 11.223, 4.473
4.785, 22.214, 9.335
21.481, 33.632, 28.042
22.128, 1.200, 10.631
8.521, 25.292, 19.605
14.548, 38.402, 22.619
11.760, 1.559, 13.279
20.967, 28.677, 5.086
17.008, 17.248, 32.673
1.474, 15.642, 27.493
31.845, 31.790, 31.070
31.653, 2.299, 13.102
14.862, 10.320, 22.828
29.966, 15.417, 15.515
5.935, 24.579, 22.518
12.569, 20.051, 26.762
9.775, 16.401, 18.785
37.894, 16.161, 23.338
17.760, 37.097, 9.066
9.515, 28.465, 10.147
30.890, 24.052, 24.913
8.221, 29.195, 6.800
6.119, 8.560, 18.846
29.883, 24.730, 10.128
19.426, 35.782, 19.720
19.172, 9.169, 24.832
4.478, 18.955, 26.720
13.964, 34.775, 15.206
25.941, 13.788, 19.240
21.333, 34.837, 10.744
30.887, 32.811, 11.758
33.055, 11.913, 14.429
1.031, 15.761, 14.143
21.514, 5.068, 23.453
33.380, 29.611, 28.456
2.562, 25.926, 34.320
26.911, 7.144, 23.326
18.776, 25.577, 31.287
