x, y, z
26.616, 21.507, 36.552
2.856, 33.149, 3.402
2.045, 34.160, 36.612
5.546, 1.621, 3.179
7.838, 8.681, 3.614
3.197, 23.645, 3.451
28.770, 11.799, 36.417
4.459, 26.640, 36.201
30.601, 1.223, 3.673
17.246, 8.667, 4.097
19.697, 16.297, 35.344
10.658, 12.687, 36.639
37.595, 39.520, 3.416
39.356, 24.132, 3.560
22.889, 20.027, 36.533
23.108, 19.724, 3.687
2.393, 23.029, 36.358
10.254, 18.808, 36.389
19.302, 17.296, 3.466
33.633, 32.648, 36.742
7.260, 11.404, 36.593
6.157, 22.023, 36.156
4.068, 18.786, 36.693
14.213, 35.918, 4.111
5.783, 37.285, 3.871
10.171, 22.449, 3.369
24.202, 12.985, 36.321
2.660, 2.169, 36.173
13.525, 27.940, 36.302
28.826, 25.682, 3.814
0.442, 36.161, 3.841
25.355, 16.677, 36.855
12.742, 0.586, 4.738
1.962, 3.423, 4.384
9.284, 1.623, 35.840
3.354, 7.679, 3.719
7.605, 7.423, 36.547
19.890, 11.044, 36.727
36.800, 9.104, 3.985
23.387, 4.779, 3.433
19.545, 24.302, 3.645
39.228, 20.721, 36.423
27.936, 17.455, 3.322
31.423, 21.242, 3.459
15.424, 13.059, 3.726
11.812, 4.832, 36.782
25.344, 24.663, 3.611
37.385, 17.976, 3.979
33.976, 39.132, 3.842
21.799, 31.135, 3.532
15.586, 4.213, 36.356
33.593, 19.166, 36.392
23.059, 7.713, 36.446
39.561, 7.305, 36.362
33.457, 27.894, 36.172
30.322, 29.901, 3.589
6.463, 35.847, 36.138
33.817, 1.455, 35.651
15.111, 21.345, 3.926
34.730, 4.898, 3.572
30.610, 34.730, 5.254
36.640, 32.448, 4.134
26.312, 32.181, 3.459
19.835, 11.448, 3.990
6.626, 20.519, 3.360
10.152, 37.671, 4.171
9.749, 31.734, 36.573
30.243, 13.751, 3.697
19.423, 35.466, 4.846
3.746, 10.370, 34.914
33.903, 12.416, 4.162
35.507, 37.382, 36.296
29.664, 25.049, 36.367
22.963, 37.825, 4.151
0.971, 10.659, 3.279
38.270, 13.369, 4.888
33.476, 9.658, 36.266
16.459, 39.294, 3.775
27.209, 37.154, 3.867
15.823, 24.389, 34.963
20.177, 3.245, 4.851
29.482, 33.800, 36.028
10.770, 12.037, 3.583
11.854, 35.845, 35.810
27.230, 2.464, 3.226
31.246, 37.121, 36.155
13.061, 8.697, 36.449
35.534, 6.528, 36.677
37.533, 33.314, 36.425
33.203, 24.248, 4.401
37.837, 16.453, 36.804
18.810, 9.103, 20.648
5.299, 16.672, 4.119
10.588, 22.684, 35.894
6.207, 30.552, 3.409
20.485, 23.542, 7.370
30.827, 11.063, 8.724
23.100, 32.478, 20.923
3.916, 14.457, 36.517
26.138, 20.369, 5.868
17.088, 9.689, 34.599
36.596, 18.892, 34.048
26.222, 14.222, 32.312
39.591, 16.800, 32.257
8.797, 34.468, 6.748
1.886, 27.761, 4.525
33.223, 30.006, 22.346
10.551, 6.940, 32.814
14.078, 20.668, 36.786
24.981, 37.004, 35.883
7.760, 33.183, 10.533
32.469, 8.972, 4.240
25.851, 27.756, 6.593
26.504, 5.312, 16.752
4.245, 31.805, 13.917
1.035, 25.794, 33.583
6.553, 18.219, 31.163
33.687, 20.022, 6.988
17.780, 34.838, 31.595
7.243, 9.795, 31.928
0.868, 22.934, 17.906
37.209, 12.790, 35.523
14.525, 12.940, 35.730
8.872, 24.049, 20.799
12.488, 15.816, 4.360
18.700, 9.085, 8.285
26.431, 7.811, 10.749
10.636, 32.789, 22.494
15.915, 15.713, 32.647
16.643, 31.190, 3.271
37.999, 4.785, 26.480
2.741, 30.478, 30.053
31.517, 2.736, 33.186
32.897, 18.432, 26.894
2.904, 5.644, 10.222
27.046, 35.465, 18.057
11.259, 10.912, 32.659
15.786, 21.275, 30.021
4.892, 36.887, 7.730
4.848, 37.443, 12.388
18.295, 2.918, 33.631
17.185, 27.335, 4.936
7.443, 18.485, 34.618
34.718, 5.413, 24.741
11.241, 27.372, 28.719
12.329, 32.743, 13.992
25.671, 6.858, 21.892
7.858, 0.478, 15.832
26.400, 26.069, 31.382
29.249, 4.667, 22.513
9.126, 35.506, 16.766
12.694, 5.466, 22.662
32.447, 25.144, 20.135
2.117, 6.773, 31.363
34.656, 14.485, 26.794
36.599, 30.629, 9.238
24.768, 11.425, 5.734
1.680, 35.634, 28.097
8.777, 35.143, 31.993
26.785, 35.951, 8.161
4.853, 36.421, 23.902
14.440, 12.448, 16.559
34.659, 13.737, 14.987
33.962, 22.304, 26.105
14.143, 17.924, 12.216
0.279, 11.242, 8.837
30.847, 18.725, 31.685
6.376, 34.668, 28.227
10.134, 7.925, 20.532
2.444, 32.694, 24.423
14.420, 3.587, 25.502
2.828, 7.577, 24.662
