x, y, z
34.017, 7.566, 36.118
23.241, 23.397, 3.285
30.772, 10.900, 36.432
24.062, 3.703, 35.851
29.714, 4.011, 3.412
8.168, 21.077, 3.713
23.015, 35.579, 35.959
5.351, 10.436, 3.532
29.898, 23.413, 36.022
35.612, 32.662, 36.503
1.564, 38.494, 36.376
20.067, 17.052, 36.389
34.338, 11.396, 36.769
37.580, 21.612, 35.690
33.595, 3.331, 4.618
34.417, 36.254, 34.584
38.350, 23.810, 4.635
14.941, 38.742, 3.935
10.691, 24.026, 3.846
28.480, 13.764, 35.155
0.850, 36.406, 4.722
25.420, 31.774, 13.870
20.559, 12.982, 4.189
33.048, 28.057, 3.550
33.273, 4.120, 35.503
2.653, 24.002, 33.691
