x, y, z
36.714, 17.823, 3.906
16.657, 24.905, 3.574
35.883, 2.019, 36.115
30.593, 10.919, 36.143
3.808, 19.514, 36.466
32.928, 10.965, 3.500
25.578, 29.130, 36.421
3.645, 6.511, 35.203
16.537, 31.706, 3.444
19.269, 32.763, 36.711
10.246, 32.010, 36.199
36.521, 34.619, 36.629
3.315, 23.501, 35.496
33.958, 38.078, 35.591
26.823, 11.456, 3.928
28.319, 22.169, 36.276
31.450, 38.630, 3.197
33.873, 15.175, 3.099
24.419, 22.307, 5.064
11.737, 7.903, 3.407
14.180, 15.378, 36.715
14.389, 32.286, 36.305
22.669, 35.079, 36.316
15.013, 20.439, 4.395
36.872, 9.741, 3.997
37.932, 12.882, 36.433
34.558, 18.317, 36.268
8.654, 6.624, 35.844
0.876, 3.498, 36.630
39.933, 32.487, 36.639
15.921, 11.169, 36.022
28.522, 26.454, 35.836
25.401, 19.971, 36.176
2.815, 13.466, 36.292
22.922, 12.983, 4.036
22.427, 15.230, 35.307
27.840, 14.367, 36.078
9.854, 23.972, 36.495
37.143, 35.011, 3.391
1.942, 35.801, 36.750
38.179, 20.816, 36.618
24.751, 8.766, 36.360
24.898, 28.567, 3.649
23.552, 37.362, 3.361
5.269, 26.511, 35.705
0.358, 21.951, 4.104
16.544, 12.712, 3.615
34.125, 22.790, 3.553
16.147, 16.965, 3.279
17.755, 24.231, 36.655
6.541, 22.294, 36.439
29.423, 8.396, 3.415
5.119, 16.296, 3.686
23.213, 18.365, 4.411
34.983, 3.863, 3.365
36.829, 13.369, 3.510
22.910, 39.090, 36.407
27.927, 31.594, 3.780
38.947, 24.400, 36.622
29.477, 17.841, 35.895
28.830, 22.416, 3.741
30.512, 35.496, 36.326
20.571, 29.080, 3.555
1.425, 33.427, 3.777
6.056, 39.945, 3.302
15.031, 20.368, 35.088
16.950, 1.984, 36.051
3.938, 20.234, 4.091
18.716, 28.498, 36.686
33.081, 14.708, 35.761
5.873, 33.853, 3.227
27.474, 18.961, 3.692
20.182, 33.209, 3.743
39.763, 28.902, 36.051
13.721, 36.530, 36.276
21.345, 4.447, 35.917
19.029, 8.708, 36.662
2.976, 28.711, 3.691
19.009, 38.568, 36.561
30.250, 14.516, 3.962
10.570, 18.819, 3.510
23.200, 9.022, 3.288
34.166, 10.135, 36.048
1.567, 17.533, 3.435
21.474, 25.347, 3.398
0.386, 39.743, 36.698
18.084, 18.886, 36.331
31.524, 30.022, 3.301
3.010, 36.970, 4.178
12.764, 30.828, 3.572
5.792, 3.073, 36.687
12.955, 23.629, 3.880
19.591, 16.260, 5.191
28.725, 27.434, 3.717
31.422, 18.921, 4.144
10.014, 14.569, 3.532
7.340, 13.311, 35.724
12.868, 26.585, 36.535
7.293, 15.101, 7.324
22.392, 1.067, 3.606
27.724, 0.345, 36.134
18.913, 20.180, 5.594
5.055, 9.930, 36.845
9.363, 25.443, 3.255
23.286, 26.294, 36.339
27.673, 31.856, 36.268
10.132, 16.687, 36.039
39.875, 8.284, 35.916
6.199, 30.928, 34.340
36.876, 19.201, 32.455
23.823, 2.117, 33.496
30.309, 34.882, 3.634
31.024, 3.494, 3.533
0.032, 11.660, 4.143
6.627, 27.666, 4.419
39.999, 16.640, 35.508
33.938, 35.985, 5.020
16.976, 8.678, 3.468
13.368, 1.519, 3.959
37.355, 33.006, 6.850
19.977, 38.791, 32.809
32.236, 38.613, 10.698
0.303, 6.669, 3.294
18.048, 3.189, 3.812
34.103, 25.185, 8.521
34.500, 26.942, 3.859
8.377, 33.743, 6.673
6.283, 23.818, 5.241
36.920, 24.008, 12.841
8.997, 37.994, 34.573
11.507, 11.808, 35.926
14.131, 6.599, 18.307
12.440, 3.586, 15.178
2.362, 23.652, 7.307
22.238, 22.148, 36.485
8.980, 29.196, 7.801
36.139, 30.222, 3.521
26.448, 25.383, 31.792
31.632, 6.045, 36.605
23.143, 32.154, 6.692
17.658, 10.603, 9.337
27.840, 30.318, 7.325
35.177, 34.074, 11.720
31.075, 15.732, 32.131
35.866, 11.562, 8.794
3.082, 9.504, 4.032
39.104, 15.685, 6.202
9.341, 37.645, 3.934
25.170, 27.687, 9.780
12.955, 16.876, 7.398
24.591, 29.269, 30.968
39.863, 39.209, 16.442
4.598, 38.835, 35.721
38.288, 6.471, 6.281
5.879, 31.455, 8.219
23.936, 11.779, 34.246
12.272, 33.285, 15.702
16.201, 6.572, 34.155
38.391, 22.008, 7.755
12.189, 4.736, 34.637
31.011, 36.027, 7.319
39.544, 8.755, 11.259
26.166, 6.560, 5.241
35.215, 39.254, 3.099
36.675, 38.407, 12.597
4.360, 5.518, 3.776
17.599, 1.745, 31.447
5.584, 3.552, 25.738
39.276, 39.701, 8.371
6.521, 36.867, 9.744
39.186, 1.391, 12.968
29.821, 25.970, 11.292
26.392, 0.498, 3.950
37.143, 32.477, 20.912
5.380, 26.294, 8.144
39.072, 32.449, 10.406
25.282, 12.230, 8.302
17.562, 34.823, 27.368
0.758, 1.547, 19.811
25.781, 37.171, 21.455
3.394, 24.671, 31.586
6.960, 35.109, 17.188
13.794, 20.722, 27.274
2.918, 1.784, 8.428
8.450, 20.626, 11.349
6.001, 38.903, 20.645
4.000, 35.748, 21.374
39.206, 28.170, 5.420
4.196, 10.056, 33.412
17.369, 35.808, 33.571
5.432, 2.765, 20.260
12.903, 0.778, 12.201
22.128, 7.125, 26.297
7.171, 24.060, 32.036
9.473, 12.436, 32.631
31.170, 35.548, 32.421
27.750, 28.708, 22.743
36.545, 3.836, 14.020
26.888, 5.494, 24.738
3.201, 0.407, 22.574
10.388, 34.904, 26.959
29.935, 34.322, 21.180
2.538, 28.270, 9.293
5.016, 31.483, 20.538
5.654, 1.545, 15.610
24.375, 26.205, 28.229
9.599, 2.851, 36.532
17.635, 29.526, 18.519
24.160, 31.524, 10.536
19.032, 13.064, 34.843
8.964, 3.307, 13.553
11.923, 11.259, 6.954
39.521, 37.086, 20.067
22.730, 4.528, 22.137
22.783, 34.345, 14.929
7.446, 37.994, 14.260
12.319, 6.014, 8.887
3.944, 24.935, 12.477
15.972, 6.060, 11.277
32.070, 12.408, 16.093
35.074, 19.480, 21.771
28.364, 18.600, 11.179
32.254, 23.099, 12.135
8.997, 25.118, 8.784
14.418, 37.741, 15.437
22.776, 20.362, 25.921
15.468, 33.543, 21.709
38.714, 33.436, 17.205
19.964, 33.931, 23.202
22.196, 12.559, 28.460
6.926, 21.389, 21.263
25.820, 38.724, 17.415
13.942, 29.728, 17.825
24.749, 5.078, 12.058
33.758, 11.534, 12.588
3.837, 18.003, 23.967
