x, y, z
7.007, 4.772, 36.368
32.360, 31.723, 36.729
20.080, 3.439, 3.493
3.684, 27.918, 35.311
24.608, 6.962, 3.865
1.232, 11.601, 3.377
27.502, 9.839, 3.496
39.505, 17.365, 3.650
7.448, 0.461, 35.865
34.030, 10.595, 36.511
28.546, 21.196, 3.865
4.220, 3.326, 3.864
25.413, 13.543, 4.235
5.296, 23.861, 34.997
5.028, 11.352, 3.790
26.420, 11.236, 36.451
12.346, 12.223, 36.154
30.851, 13.718, 35.648
7.774, 19.597, 4.830
6.202, 31.364, 36.693
12.597, 5.058, 36.670
7.365, 19.592, 36.460
9.279, 16.102, 3.508
29.612, 9.325, 34.745
19.108, 16.675, 3.782
21.699, 33.780, 36.004
34.179, 35.823, 35.941
3.652, 18.035, 3.908
14.776, 19.741, 3.599
4.519, 8.430, 36.379
0.607, 24.729, 36.451
35.378, 26.747, 36.421
11.756, 34.993, 3.855
38.205, 31.890, 3.796
20.787, 8.842, 36.461
24.329, 22.031, 3.961
4.218, 29.176, 3.354
10.939, 31.002, 3.862
0.452, 28.311, 3.968
17.697, 34.803, 36.509
38.294, 1.509, 36.374
37.130, 33.063, 36.332
21.179, 8.068, 3.839
32.595, 18.653, 36.242
8.395, 35.626, 36.518
28.057, 25.079, 3.627
20.000, 19.588, 36.410
20.189, 39.498, 36.698
16.103, 1.704, 36.491
28.407, 19.645, 35.577
23.360, 22.178, 36.180
2.702, 5.031, 36.840
5.320, 16.228, 36.353
24.648, 3.761, 36.697
0.782, 33.746, 36.227
18.087, 35.137, 3.939
18.884, 15.493, 36.720
34.367, 12.951, 4.352
7.652, 11.491, 36.287
25.112, 7.568, 36.128
15.632, 27.860, 36.679
31.296, 15.979, 3.518
1.353, 6.729, 3.514
9.606, 14.680, 36.437
10.065, 30.739, 35.951
12.299, 35.188, 36.367
21.107, 27.084, 3.901
16.236, 26.902, 3.465
10.493, 2.029, 5.159
7.557, 27.403, 36.752
12.323, 1.297, 36.321
2.727, 39.002, 3.728
16.672, 11.039, 3.477
32.877, 37.119, 3.691
19.204, 30.600, 36.547
26.125, 1.048, 4.784
34.351, 4.968, 3.681
14.439, 0.291, 3.855
0.869, 24.516, 3.571
26.066, 36.213, 3.571
29.936, 0.286, 3.902
20.026, 12.467, 3.787
35.851, 6.847, 36.499
25.855, 15.396, 36.507
29.295, 34.328, 36.772
38.231, 16.986, 36.660
9.970, 11.468, 3.717
31.380, 26.617, 3.845
38.898, 28.945, 36.145
21.493, 36.885, 33.977
21.944, 38.705, 4.092
16.017, 4.157, 3.296
16.293, 14.969, 5.070
26.316, 32.626, 3.974
15.069, 19.412, 36.580
29.811, 4.003, 4.519
20.686, 33.841, 6.109
13.269, 8.845, 8.147
15.949, 38.287, 35.066
16.282, 9.508, 36.735
6.624, 32.168, 4.640
19.588, 20.673, 3.986
24.833, 16.367, 31.003
31.996, 28.053, 36.773
17.848, 13.907, 32.598
33.586, 9.256, 33.186
39.124, 20.842, 35.767
14.766, 35.127, 32.683
39.811, 2.204, 3.738
33.853, 4.987, 32.261
0.896, 26.876, 32.963
35.880, 36.174, 9.071
2.271, 18.507, 32.880
36.814, 20.456, 3.597
2.697, 12.568, 35.764
28.714, 27.392, 35.131
8.518, 1.629, 10.624
33.506, 30.979, 6.002
10.419, 23.805, 30.343
8.949, 8.104, 36.213
13.853, 25.462, 26.601
7.041, 39.918, 4.338
12.988, 1.901, 9.232
16.305, 35.259, 17.311
31.200, 14.242, 9.658
8.172, 34.574, 20.395
32.301, 34.924, 6.610
32.475, 18.300, 10.117
3.485, 8.377, 7.169
22.437, 14.514, 25.194
18.293, 16.919, 28.902
26.935, 20.789, 19.146
21.379, 0.768, 17.419
14.102, 5.431, 11.441
11.381, 16.164, 9.483
24.755, 36.210, 28.260
39.425, 18.674, 10.198
9.888, 27.365, 32.998
4.540, 3.172, 25.548
29.044, 8.851, 25.395
4.544, 7.330, 19.520
29.096, 32.389, 10.041
11.489, 25.435, 11.130
35.365, 29.564, 19.001
19.900, 24.548, 36.097
7.347, 15.012, 29.026
16.582, 10.033, 10.748
31.633, 23.826, 17.998
11.898, 21.799, 4.258
