x, y, z
35.051, 22.165, 36.593
26.753, 0.765, 36.115
23.938, 36.145, 36.122
28.008, 22.186, 3.709
8.194, 28.322, 36.040
16.394, 4.138, 36.066
22.971, 21.638, 36.069
13.739, 13.281, 36.486
19.678, 14.872, 36.557
38.903, 11.117, 3.214
33.155, 20.578, 3.335
21.996, 0.817, 36.474
22.868, 34.524, 4.103
12.646, 32.406, 3.580
18.375, 7.232, 35.592
2.043, 26.296, 36.772
5.418, 19.563, 36.798
14.513, 22.230, 35.784
13.545, 3.547, 3.613
14.436, 8.238, 36.424
31.398, 1.924, 36.150
9.221, 6.736, 3.722
34.806, 14.376, 4.161
6.021, 39.109, 3.558
2.999, 4.131, 3.332
38.923, 19.101, 3.513
18.825, 9.164, 3.490
26.096, 24.698, 36.757
24.901, 19.400, 3.337
3.585, 4.100, 36.340
18.121, 4.751, 3.358
18.546, 28.896, 36.086
26.173, 17.933, 36.728
10.430, 9.117, 36.175
37.682, 14.293, 36.237
35.933, 0.238, 3.775
33.019, 13.298, 35.799
12.576, 20.342, 4.199
17.662, 0.395, 3.472
1.279, 22.849, 3.461
38.769, 2.659, 36.755
14.556, 36.266, 3.440
15.267, 33.980, 36.436
39.752, 18.849, 36.712
22.118, 26.778, 36.402
6.723, 31.713, 36.369
20.321, 32.400, 35.451
35.534, 17.517, 36.037
26.266, 32.095, 36.617
5.679, 14.739, 36.755
17.221, 11.270, 36.038
19.054, 15.446, 3.679
1.586, 33.019, 35.615
23.385, 30.674, 3.443
26.778, 33.844, 4.249
29.400, 27.202, 36.721
14.066, 16.172, 4.056
17.619, 20.120, 3.406
7.212, 12.747, 3.116
5.666, 34.660, 4.419
18.277, 18.147, 36.136
33.663, 4.912, 3.603
8.817, 3.731, 36.598
21.520, 9.643, 36.282
29.707, 2.359, 3.856
7.317, 39.520, 36.222
1.444, 37.552, 36.291
21.113, 39.285, 3.950
23.525, 14.583, 5.243
34.151, 8.366, 35.447
36.946, 28.587, 4.094
39.396, 22.911, 35.722
9.618, 34.572, 36.690
1.933, 31.325, 3.416
28.538, 8.517, 3.533
24.500, 12.558, 36.296
8.285, 17.405, 36.645
24.768, 5.836, 36.570
32.071, 24.594, 3.472
22.281, 17.785, 35.806
2.081, 7.531, 36.726
3.470, 29.950, 36.455
32.598, 30.984, 4.315
15.673, 23.876, 3.422
0.651, 27.545, 3.719
11.710, 24.627, 3.489
10.367, 27.810, 3.328
5.368, 10.703, 36.187
21.916, 4.521, 3.470
32.837, 34.692, 35.622
13.278, 8.602, 3.470
30.977, 22.095, 34.099
28.961, 3.465, 33.185
5.068, 23.933, 3.583
38.205, 26.649, 36.115
31.233, 34.116, 3.497
18.552, 24.674, 36.633
16.559, 16.081, 32.815
8.363, 17.622, 4.458
37.814, 5.434, 32.083
4.902, 20.454, 3.268
37.172, 5.970, 35.998
37.312, 35.789, 36.656
35.173, 28.563, 34.204
5.290, 30.288, 3.955
27.272, 10.175, 35.722
17.874, 2.999, 7.286
26.390, 6.582, 32.972
8.674, 33.835, 33.031
32.015, 17.842, 21.220
14.203, 28.196, 3.482
7.010, 1.884, 16.136
6.964, 7.936, 34.286
21.686, 3.056, 24.180
21.731, 34.596, 25.889
15.243, 13.788, 7.300
21.638, 21.141, 20.589
4.694, 35.665, 35.546
12.368, 23.647, 14.020
7.444, 13.160, 31.931
17.664, 9.133, 28.172
30.904, 26.832, 33.427
30.167, 7.476, 34.639
39.503, 37.289, 27.193
11.207, 34.691, 6.377
28.906, 30.047, 33.891
38.437, 17.721, 12.130
13.985, 17.292, 36.853
4.808, 0.181, 23.408
13.032, 39.430, 7.422
9.026, 22.494, 3.249
39.060, 10.204, 21.797
21.771, 37.273, 10.427
10.194, 32.371, 16.778
29.759, 27.387, 29.218
33.908, 31.836, 32.766
